PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3l3m, A92, PDB_BIND, Ki, =, 6, nM
3l3m, A92, BINDING_MOAD, Ki, 0.006, =, uM
3l3m, A92, BINDING_DB, NA, NA, NA, NA
4L6S, 1WQ, PDB_BIND, IC50, =, 3, nM
4L6S, 1WQ, BINDING_MOAD, Kd, 0.003, =, uM
4L6S, 1WQ, BINDING_MOAD, Kd, 0.003, =, uM
3GN7, 3GN, PDB_BIND, Ki, =, 5, nM
3GN7, 3GN, BINDING_DB, NA, NA, NA, NA
2RD6, 78P, PDB_BIND, Ki, =, 5, nM
2RD6, 78P, BINDING_DB, NA, NA, NA, NA
3L3L, L3L, PDB_BIND, Ki, =, 33, nM
3L3L, L3L, BINDING_MOAD, Ki, 33, =, nM
3L3L, L3L, BINDING_DB, NA, NA, NA, NA
2RCW, AAI, PDB_BIND, Ki, =, 8, nM
2RCW, AAI, BINDING_DB, NA, NA, NA, NA
4HHY, 15R, PDB_BIND, IC50, =, 1.92, nM
4HHY, 15R, BINDING_MOAD, ic50, 0.0019, =, uM
4HHY, 15R, BINDING_MOAD, ic50, 0.0019, =, uM
4HHY, 15R, BINDING_MOAD, ic50, 0.0019, =, uM
4HHY, 15R, BINDING_MOAD, ic50, 0.0019, =, uM
4HHZ, 15S, PDB_BIND, IC50, =, 0.019, uM
1WOK, CNQ, PDB_BIND, IC50, =, 33, nM
1WOK, CNQ, BINDING_DB, NA, NA, NA, NA
3GJW, GJW, PDB_BIND, Ki, =, 5, nM
3GJW, GJW, BINDING_MOAD, Ki, 0.005, =, uM
3GJW, GJW, BINDING_DB, NA, NA, NA, NA
4GV7, MEW, BINDING_DB, NA, NA, NA, NA
1UK0, FRM, PDB_BIND, IC50, =, 8, nM
1UK0, FRM, BINDING_DB, NA, NA, NA, NA
1UK1, FRQ, PDB_BIND, IC50, =, 60, nM
1UK1, FRQ, BINDING_DB, NA, NA, NA, NA
