PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3SIE, 5BO, PDB_BIND, IC50, =, 13.3, nM
3SIE, 5BO, BINDING_MOAD, ic50, 13.3, =, nM
3SIE, 5BO, BINDING_MOAD, ic50, 13.3, =, nM
1T9R, CIT, BINDING_DB, NA, NA, NA, NA
1T9S, 5GP, BINDING_MOAD, , , , 
1T9S, 5GP, BINDING_MOAD, , , , 
1T9S, 5GP, BINDING_DB, NA, NA, NA, NA
3TGE, TGE, PDB_BIND, IC50, =, 0.07, nM
3TGE, TGE, BINDING_MOAD, ic50, 0.07, =, nM
3TGE, TGE, BINDING_DB, NA, NA, NA, NA
3TGG, 0H3, BINDING_MOAD, , , , 
3TGG, 0H3, BINDING_DB, NA, NA, NA, NA
3SHZ, 5CO, PDB_BIND, IC50, =, 35.9, nM
3SHZ, 5CO, BINDING_MOAD, ic50, 35.9, =, nM
3HC8, PD4, PDB_BIND, IC50, =, 2.9, nM
3HC8, PD4, BINDING_MOAD, ic50, 2.9, =, nM
3HC8, PD4, BINDING_DB, NA, NA, NA, NA
4G2Y, NI5, BINDING_MOAD, ic50, 1.6, =, nM
2H44, 7CA, PDB_BIND, IC50, =, 1.7, uM
2H44, 7CA, BINDING_MOAD, ic50, 1.7, =, uM
2H44, 7CA, BINDING_DB, NA, NA, NA, NA
3HDZ, PD6, PDB_BIND, IC50, =, 51, nM
3HDZ, PD6, BINDING_MOAD, ic50, 51, =, nM
2H42, VIA, PDB_BIND, IC50, =, 2.4, nM
2H42, VIA, BINDING_MOAD, ic50, 2.4, =, nM
2H42, VIA, BINDING_MOAD, ic50, 2.4, =, nM
2H42, VIA, BINDING_MOAD, ic50, 2.4, =, nM
2H42, VIA, BINDING_DB, NA, NA, NA, NA
3SHY, 5FO, PDB_BIND, IC50, =, 90.9, nM
1UHO, VDN, PDB_BIND, Kd, =, 0.6, nM
1UHO, VDN, BINDING_MOAD, Kd, 0.6, ~, nM
1UHO, VDN, BINDING_DB, NA, NA, NA, NA
1TBF, VIA, BINDING_MOAD, , , , 
1TBF, VIA, BINDING_DB, NA, NA, NA, NA
4I9Z, 5BA, BINDING_MOAD, ic50, 18.2, =, nM
1RKP, IBM, BINDING_MOAD, , , , 
1RKP, IBM, BINDING_DB, NA, NA, NA, NA
4IA0, 5BB, BINDING_MOAD, ic50, 77, =, nM
1UDU, CIA, PDB_BIND, Kd, =, 0.9, nM
1UDU, CIA, BINDING_DB, NA, NA, NA, NA
1XOZ, CIA, PDB_BIND, IC50, =, 1.2, nM
1XOZ, CIA, BINDING_MOAD, ic50, 0.0012, =, uM
1XOZ, CIA, BINDING_DB, NA, NA, NA, NA
3JWR, IBM, PDB_BIND, Ki, =, 8.5, nM
3JWR, IBM, BINDING_DB, NA, NA, NA, NA
4G2W, NI0, PDB_BIND, IC50, =, 1.6, nM
4G2W, NI0, BINDING_MOAD, ic50, 1000, >, nM
4G2W, NI0, BINDING_DB, NA, NA, NA, NA
3JWQ, VIA, PDB_BIND, Ki, =, 25, nM
3JWQ, VIA, BINDING_DB, NA, NA, NA, NA
1XP0, VDN, PDB_BIND, IC50, =, 1.0, nM
1XP0, VDN, BINDING_MOAD, ic50, 0.001, =, uM
1XP0, VDN, BINDING_DB, NA, NA, NA, NA
2CHM, 3P4, PDB_BIND, IC50, =, 5.5, nM
2CHM, 3P4, BINDING_MOAD, ic50, 5.5, =, nM
2CHM, 3P4, BINDING_DB, NA, NA, NA, NA
3B2R, VDN, BINDING_MOAD, , , , 
3B2R, VDN, BINDING_MOAD, , , , 
3B2R, VDN, BINDING_DB, NA, NA, NA, NA
 NA, NA, NA
3B2R, VDN, BINDING_MOAD, , , , 
3B2R, VDN, BINDING_MOAD, , , , 
3B2R, VDN, BINDING_DB, NA, NA, NA, NA
