PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1IGZ, EIC, BINDING_DB, NA, NA, NA, NA
1IGX, EPA, BINDING_DB, NA, NA, NA, NA
1FE2, LAX, BINDING_DB, NA, NA, NA, NA
2AYL, FLP, BINDING_MOAD, , , , 
2AYL, FLP, BINDING_MOAD, , , , 
2AYL, FLP, BINDING_DB, NA, NA, NA, NA
3KK6, CEL, BINDING_DB, NA, NA, NA, NA
1CQE, FLP, BINDING_DB, NA, NA, NA, NA
3N8W, FLP, BINDING_DB, NA, NA, NA, NA
3N8Z, FLP, BINDING_DB, NA, NA, NA, NA
3N8Y, DIF, BINDING_DB, NA, NA, NA, NA
3N8X, NIM, BINDING_DB, NA, NA, NA, NA
1EQH, FLP, BINDING_DB, NA, NA, NA, NA
1DIY, ACD, BINDING_DB, NA, NA, NA, NA
1EQG, IBP, BINDING_DB, NA, NA, NA, NA
1Q4G, BFL, BINDING_MOAD, , , , 
1Q4G, BFL, BINDING_MOAD, , , , 
1Q4G, BFL, BINDING_DB, NA, NA, NA, NA
1U67, ACD, BINDING_DB, NA, NA, NA, NA
1PGF, IMM, BINDING_DB, NA, NA, NA, NA
1PGG, IMM, BINDING_DB, NA, NA, NA, NA
2OYE, IM8, BINDING_DB, NA, NA, NA, NA
2OYE, IM8, BINDING_DB, NA, NA, NA, NA
