PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4A4L, 939, PDB_BIND, IC50, =, 0.015, uM
4A4L, 939, BINDING_MOAD, ic50, 0.015, =, uM
4A4L, 939, BINDING_DB, NA, NA, NA, NA
4A4O, 664, PDB_BIND, IC50, =, 0.009, uM
4A4O, 664, BINDING_DB, NA, NA, NA, NA
2YAC, 937, PDB_BIND, IC50, =, 0.002, uM
2YAC, 937, BINDING_MOAD, ic50, 0.003, =, uM
2YAC, 937, BINDING_DB, NA, NA, NA, NA
2RKU, R78, PDB_BIND, IC50, =, 5.0, nM
2RKU, R78, BINDING_MOAD, ic50, 8, =, nM
2RKU, R78, BINDING_DB, NA, NA, NA, NA
2RKU, SRT, BINDING_DB, NA, NA, NA, NA
2OU7, ANP, PDB_BIND, IC50, =, 155, uM
2OU7, ANP, BINDING_MOAD, ic50, 140, =, uM
2OU7, ANP, BINDING_DB, NA, NA, NA, NA
3THB, 3TA, PDB_BIND, IC50, =, 2, nM
3THB, 3TA, BINDING_MOAD, ic50, 2, =, nM
3THB, 3TA, BINDING_DB, NA, NA, NA, NA
3FC2, IBI, PDB_BIND, IC50, =, 0.87, nM
3FC2, IBI, BINDING_MOAD, ic50, 0.87, =, nM
3FC2, IBI, BINDING_DB, NA, NA, NA, NA
4J53, 1J4, PDB_BIND, IC50, =, 2, nM
4J53, 1J4, BINDING_MOAD, ic50, 2, =, nM
4J53, 1J4, BINDING_DB, NA, NA, NA, NA
3KB7, 071, PDB_BIND, IC50, =, 7, nM
3KB7, 071, BINDING_MOAD, ic50, 0.007, =, uM
3KB7, 071, BINDING_DB, NA, NA, NA, NA
4J52, 1J3, PDB_BIND, IC50, =, 3, nM
4J52, 1J3, BINDING_MOAD, ic50, 3, =, nM
4J52, 1J3, BINDING_DB, NA, NA, NA, NA
 nM
4J52, 1J3, BINDING_MOAD, ic50, 3, =, nM
4J52, 1J3, BINDING_DB, NA, NA, NA, NA
