PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1V41, AZG, PDB_BIND, Ki, =, 20, uM
1PWY, AC2, PDB_BIND, Ki, =, 90, uM
1PWY, AC2, BINDING_DB, NA, NA, NA, NA
1RFG, GMP, BINDING_DB, NA, NA, NA, NA
3D1V, D1V, PDB_BIND, Kd, =, 0.324, mM
1V3Q, 2DI, BINDING_DB, NA, NA, NA, NA
2OC9, IMH, PDB_BIND, Ki, =, 11, nM
2OC9, IMH, BINDING_DB, NA, NA, NA, NA
3INY, 7DG, PDB_BIND, Kd, =, 217, uM
3INY, 7DG, BINDING_DB, NA, NA, NA, NA
2OC4, IMH, PDB_BIND, Ki, =, 86, nM
2OC4, IMH, BINDING_DB, NA, NA, NA, NA
2Q7O, IMH, PDB_BIND, Ki, =, 12, nM
2Q7O, IMH, BINDING_DB, NA, NA, NA, NA
1RT9, IMH, PDB_BIND, Ki, =, 56, pM
1RT9, IMH, BINDING_MOAD, , , , 
1RT9, IMH, BINDING_DB, NA, NA, NA, NA
3PHB, IM5, BINDING_DB, NA, NA, NA, NA
3GGS, 2FD, BINDING_DB, NA, NA, NA, NA
1RR6, IMH, PDB_BIND, Kd, =, 56, pM
1RR6, IMH, BINDING_MOAD, , , , 
1RR6, IMH, BINDING_DB, NA, NA, NA, NA
2A0Y, DIH, BINDING_MOAD, Ki, 900, =, pM
2A0Y, DIH, BINDING_DB, NA, NA, NA, NA
2A0X, DIH, BINDING_MOAD, Ki, 950, =, pM
2A0X, DIH, BINDING_DB, NA, NA, NA, NA
4EAR, IM5, PDB_BIND, Kd, =, 151, pM
4EAR, IM5, BINDING_MOAD, , , , 
4EAR, IM5, BINDING_MOAD, , , , 
4EAR, IM5, BINDING_MOAD, , , , 
4EAR, IM5, BINDING_DB, NA, NA, NA, NA
2A0W, DIH, BINDING_MOAD, Ki, 270, =, pM
2A0W, DIH, BINDING_DB, NA, NA, NA, NA
1RCT, NOS, BINDING_DB, NA, NA, NA, NA
4ECE, GUN, BINDING_DB, NA, NA, NA, NA
1ULB, GUN, BINDING_DB, NA, NA, NA, NA
1PF7, IMH, PDB_BIND, Ki, =, 72, pM
1PF7, IMH, BINDING_DB, NA, NA, NA, NA
3K8O, 229, PDB_BIND, Kd, =, 8.6, pM
3K8O, 229, BINDING_DB, NA, NA, NA, NA
4EB8, IM5, PDB_BIND, Ki, =, 151, pM
4EB8, IM5, BINDING_MOAD, , , , 
4EB8, IM5, BINDING_MOAD, , , , 
4EB8, IM5, BINDING_MOAD, , , , 
4EB8, IM5, BINDING_DB, NA, NA, NA, NA
1RSZ, DIH, BINDING_MOAD, , , , 
1RSZ, DIH, BINDING_DB, NA, NA, NA, NA
3GB9, A2F, BINDING_MOAD, , , , 
3GB9, A2F, BINDING_MOAD, , , , 
3GB9, A2F, BINDING_MOAD, , , , 
1V2H, GUN, PDB_BIND, IC50, =, 5, uM
1V2H, GUN, BINDING_DB, NA, NA, NA, NA
2ON6, IMH, PDB_BIND, Ki, =, 172, nM
2ON6, IMH, BINDING_MOAD, Ki, 172, =, nM
2ON6, IMH, BINDING_DB, NA, NA, NA, NA
3K8Q, 22A, PDB_BIND, Kd, =, 5.2, pM
3K8Q, 22A, BINDING_DB, NA, NA, NA, NA
M
2ON6, IMH, BINDING_DB, NA, NA, NA, NA
3K8Q, 22A, PDB_BIND, Kd, =, 5.2, pM
3K8Q, 22A, BINDING_DB, NA, NA, NA, NA
