PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2p54, 735, BINDING_MOAD, , , , 
2p54, 735, BINDING_DB, NA, NA, NA, NA
3VI8, 13M, BINDING_MOAD, , , , 
3VI8, 13M, BINDING_DB, NA, NA, NA, NA
3FEI, CTM, PDB_BIND, IC50, =, 0.02, uM
3FEI, CTM, BINDING_MOAD, ic50, 0.02, =, uM
3KDT, 7HA, PDB_BIND, IC50, =, 260, nM
3KDT, 7HA, BINDING_DB, NA, NA, NA, NA
3KDU, NKS, PDB_BIND, IC50, =, 347, nM
3KDU, NKS, BINDING_MOAD, ic50, 347, =, nM
3KDU, NKS, BINDING_MOAD, ic50, 347, =, nM
3KDU, NKS, BINDING_DB, NA, NA, NA, NA
2REW, REW, BINDING_DB, NA, NA, NA, NA
3G8I, RO7, PDB_BIND, IC50, =, 0.038, uM
3G8I, RO7, BINDING_MOAD, ic50, 0.038, =, uM
3G8I, RO7, BINDING_DB, NA, NA, NA, NA
2NPA, MMB, BINDING_MOAD, , , , 
2NPA, MMB, BINDING_MOAD, , , , 
2NPA, MMB, BINDING_DB, NA, NA, NA, NA
1I7G, AZ2, PDB_BIND, IC50, =, 1.0, uM
1I7G, AZ2, BINDING_MOAD, ic50, 1, =, uM
1I7G, AZ2, BINDING_DB, NA, NA, NA, NA
2ZNN, S44, BINDING_MOAD, , , , 
2ZNN, S44, BINDING_DB, NA, NA, NA, NA
1K7L, 544, BINDING_MOAD, , , , 
1K7L, 544, BINDING_MOAD, , , , 
1K7L, 544, BINDING_MOAD, , , , 
1K7L, 544, BINDING_MOAD, , , , 
1K7L, 544, BINDING_DB, NA, NA, NA, NA
3SP6, IL2, BINDING_MOAD, , , , 
1KKQ, 471, PDB_BIND, IC50, =, 0.24, uM
1KKQ, 471, BINDING_DB, NA, NA, NA, NA
4BCR, WY1, BINDING_MOAD, , , , 
4BCR, WY1, BINDING_MOAD, , , , 
4BCR, WY1, BINDING_MOAD, , , , 
4BCR, WY1, BINDING_MOAD, , , , 
4BCR, WY1, BINDING_DB, NA, NA, NA, NA
3ET1, ET1, BINDING_MOAD, , , , 
3ET1, ET1, BINDING_MOAD, , , , 
