PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2XYJ, WLM, BINDING_MOAD, , , , 
2XYJ, WLM, BINDING_MOAD, , , , 
2XYJ, WLM, BINDING_MOAD, , , , 
2XYJ, WLM, BINDING_MOAD, , , , 
3PEQ, 3EQ, PDB_BIND, IC50, =, 31.6, nM
3PEQ, 3EQ, BINDING_MOAD, ic50, 32, =, nM
3PEQ, 3EQ, BINDING_MOAD, ic50, 32, =, nM
2J14, GNI, BINDING_DB, NA, NA, NA, NA
2Q5G, 1FA, BINDING_DB, NA, NA, NA, NA
2BAW, VCA, BINDING_MOAD, , , , 
2BAW, VCA, BINDING_MOAD, , , , 
2ZNQ, 401, BINDING_DB, NA, NA, NA, NA
2B50, VCA, BINDING_MOAD, , , , 
2B50, VCA, BINDING_MOAD, , , , 
3ET2, ET1, BINDING_MOAD, , , , 
3ET2, ET1, BINDING_MOAD, , , , 
3GWX, EPA, PDB_BIND, IC50, =, 4.0, uM
3GWX, EPA, BINDING_MOAD, ic50, 4, =, uM
3GWX, EPA, BINDING_MOAD, ic50, 4, =, uM
3GWX, EPA, BINDING_DB, NA, NA, NA, NA
3GZ9, D32, PDB_BIND, IC50, =, 4, nM
3GZ9, D32, BINDING_MOAD, Ki, 0.004, =, uM
3GZ9, D32, BINDING_DB, NA, NA, NA, NA
3TKM, GW0, PDB_BIND, IC50, =, 1, nM
3TKM, GW0, BINDING_MOAD, Kd, 22, =, nM
3TKM, GW0, BINDING_DB, NA, NA, NA, NA
3SP9, IL2, BINDING_MOAD, , , , 
3SP9, IL2, BINDING_MOAD, , , , 
3DY6, DY6, PDB_BIND, IC50, =, 126, nM
3DY6, DY6, BINDING_DB, NA, NA, NA, NA
3D5F, L41, BINDING_DB, NA, NA, NA, NA
1Y0S, 331, BINDING_DB, NA, NA, NA, NA
1GWX, 433, BINDING_MOAD, , , , 
1GWX, 433, BINDING_MOAD, , , , 
1GWX, 433, BINDING_DB, NA, NA, NA, NA
2AWH, VCA, BINDING_MOAD, , , , 
2AWH, VCA, BINDING_MOAD, , , , 
 , , 
2AWH, VCA, BINDING_MOAD, , , , 
