PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3HO0, DKD, BINDING_DB, NA, NA, NA, NA
3CS8, BRL, BINDING_MOAD, , , , 
3CS8, BRL, BINDING_DB, NA, NA, NA, NA
1ZGY, BRL, BINDING_MOAD, ic50, 0.5, =, uM
1ZGY, BRL, BINDING_DB, NA, NA, NA, NA
3VN2, TLS, BINDING_MOAD, , , , 
3VN2, TLS, BINDING_DB, NA, NA, NA, NA
3IA6, UNT, PDB_BIND, IC50, =, 3, nM
3IA6, UNT, BINDING_MOAD, ic50, 0.003, =, uM
3IA6, UNT, BINDING_MOAD, ic50, 0.003, =, uM
3IA6, UNT, BINDING_DB, NA, NA, NA, NA
3AN4, M7R, BINDING_MOAD, , , , 
3AN4, M7R, BINDING_DB, NA, NA, NA, NA
3AN3, M7S, BINDING_MOAD, , , , 
3AN3, M7S, BINDING_DB, NA, NA, NA, NA
4F9M, FCM, BINDING_MOAD, , , , 
4F9M, FCM, BINDING_DB, NA, NA, NA, NA
4EM9, KNA, BINDING_MOAD, , , , 
4EM9, KNA, BINDING_MOAD, , , , 
4EM9, KNA, BINDING_MOAD, , , , 
4EM9, KNA, BINDING_MOAD, , , , 
4EM9, TCE, BINDING_MOAD, , , , 
2Q5P, 241, BINDING_MOAD, , , , 
2Q5P, 241, BINDING_MOAD, , , , 
2Q5P, 241, BINDING_DB, NA, NA, NA, NA
2PRG, BRL, BINDING_MOAD, , , , 
2PRG, BRL, BINDING_MOAD, , , , 
2PRG, BRL, BINDING_DB, NA, NA, NA, NA
3R5N, MLO, PDB_BIND, Kd, =, 1.67, uM
3R5N, MLO, BINDING_MOAD, Kd, 1.67, =, uM
3R5N, MLO, BINDING_MOAD, Kd, 1.67, =, uM
3R5N, MLO, BINDING_DB, NA, NA, NA, NA
2Q5S, NZA, BINDING_MOAD, , , , 
2Q5S, NZA, BINDING_MOAD, , , , 
2Q5S, NZA, BINDING_DB, NA, NA, NA, NA
3H0A, 9RA, BINDING_MOAD, , , , 
3H0A, 9RA, BINDING_DB, NA, NA, NA, NA
3H0A, D30, PDB_BIND, Ki, =, 33, nM
3H0A, D30, BINDING_MOAD, Ki, 0.033, =, uM
3H0A, D30, BINDING_DB, NA, NA, NA, NA
1K74, 544, BINDING_MOAD, , , , 
1K74, 544, BINDING_DB, NA, NA, NA, NA
1K74, 9CR, BINDING_MOAD, , , , 
3QT0, 486, BINDING_DB, NA, NA, NA, NA
3FUR, Z12, PDB_BIND, Ki, =, 10, nM
3FUR, Z12, BINDING_MOAD, Ki, 10, =, nM
3FUR, Z12, BINDING_DB, NA, NA, NA, NA
4EMA, BRL, BINDING_DB, NA, NA, NA, NA
4PRG, 072, PDB_BIND, Ki, =, 70, nM
1I7I, AZ2, PDB_BIND, IC50, =, 0.2, uM
1I7I, AZ2, BINDING_MOAD, , , , 
1I7I, AZ2, BINDING_MOAD, , , , 
1I7I, AZ2, BINDING_DB, NA, NA, NA, NA
3HOD, ZZH, BINDING_MOAD, , , , 
3HOD, ZZH, BINDING_DB, NA, NA, NA, NA
3B0R, GW9, BINDING_DB, NA, NA, NA, NA
2HFP, NSI, PDB_BIND, IC50, =, 3, nM
2HFP, NSI, BINDING_MOAD, ic50, 3, =, nM
2HFP, NSI, BINDING_MOAD, ic50, 3, =, nM
2HFP, NSI, BINDING_DB, NA, NA, NA, NA
1RDT, 570, BINDING_MOAD, , , , 
1RDT, 570, BINDING_DB, NA, NA, NA, NA
1RDT, L79, PDB_BIND, Ki, =, 200, nM
1RDT, L79, BINDING_MOAD, Ki, 6, =, nM
3LMP, CEK, PDB_BIND, IC50, =, 0.62, uM
