PDB_ID	LIG_ID
2GTK	lig
1FM9	9CR
1I7I	AZ2
1K74	9CR
1KNU	YPA
1NYX	DRF
1RDT	L79
1WM0	PLB
1ZEO	C01
1ZGY	BRL
2ATH	3EA
2F4B	EHA
2G0G	SP0
2G0H	SP3
2HWQ	DRY
2HWR	DRD
2I4J	DRJ
2I4P	DRH
2I4Z	DRH
2OM9	AJA
2POB	GW4
2PRG	BRL
2Q59	240
2Q5P	241
2Q5S	NZA
2Q61	SF1
2Q6R	SF2
2Q8S	L92
2VST	243
2VV0	HXA
2VV1	4HD
2VV2	5HE
2VV3	4R8
2VV4	6OC
2XKW	P1B
2YFE	YFE
2ZK1	PTG
2ZK3	OCX
2ZK4	OCR
2ZK5	NRO
2ZK6	C08
2ZNO	S44
2ZVT	PTG
3ADT	HID
3ADV	SRO
3AN3	M7S
3AN4	M7R
3B0Q	MC5
3B0R	GW9
3B1M	KRC
3B3K	LRG
3BC5	ZAA
3CDP	YRG
3CDS	GRR
3CS8	BRL
3D6D	LRG
3ET0	ET0
3ET3	ET1
3FEJ	CTM
3FUR	Z12
3G9E	RO7
3GBK	2PQ
3H0A	9RA
3HO0	DKD
3HOD	ZZH
3IA6	UNT
3K8S	Z27
3LMP	CEK
3NOA	5BC
3OSI	XDH
3OSW	XDI
3PBA	ZXG
3PO9	XPT
3QT0	486
3R8A	HIG
3R8I	XCX
3S9S	M0T
3SZ1	KNA
3T03	3T0
3TY0	082
3U9Q	DKA
3V9T	17L
3V9V	21L
3V9Y	24L
3VJH	J35
3VJI	J53
3VN2	TLS
3VSO	EK1
3VSP	EK8
3WJ4	TBY
3WJ5	T9T
3WMH	JJA
3X1H	5OX
3X1I	66B
4A4V	YFD
4A4W	YFB
4CI5	Y1N
4E4Q	RRH
4EMA	BRL
4F9M	FCM
4FGY	0W3
4HEE	14R
4JAZ	STL
4JL4	AXY
4L96	LRG
4L98	LRG
4O8F	BRL
4OJ4	DIF
4PRG	072
4PWL	MSZ
4R2U	3JX
4R6S	3K2
4XLD	BRL
4XTA	DIF
4XUH	SFI
4Y29	CTI
5AZV	4M5
5DSH	6BH
5DV3	B05
5DV6	B4H
5DV8	T51
5DVC	T53
5DWL	3JX
5GTN	Q35
5HZC	65W
5LSG	QZQ
5TTO	7KK
5TWO	7MV
5U5L	7VA
5WQX	T65
5WR0	8Y0
5WR1	8XO
