PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4A2J, AS0, BINDING_MOAD, , , , 
4A2J, AS0, BINDING_MOAD, , , , 
4A2J, AS0, BINDING_DB, NA, NA, NA, NA
3ZR7, OR8, BINDING_MOAD, , , , 
3ZR7, OR8, BINDING_MOAD, , , , 
4APU, A2K, BINDING_MOAD, , , , 
4APU, A2K, BINDING_DB, NA, NA, NA, NA
4APU, OR8, BINDING_MOAD, , , , 
1SR7, MOF, PDB_BIND, Kd, =, 0.08, nM
1SR7, MOF, BINDING_MOAD, Kd, 0.08, =, nM
1SR7, MOF, BINDING_MOAD, Kd, 0.08, =, nM
1SR7, MOF, BINDING_DB, NA, NA, NA, NA
3ZRB, OR8, BINDING_MOAD, , , , 
3ZRB, ORC, BINDING_MOAD, , , , 
2W8Y, 486, PDB_BIND, Ki, =, 0.82, nM
2W8Y, 486, BINDING_MOAD, , , , 
2W8Y, 486, BINDING_DB, NA, NA, NA, NA
2W8Y, NDR, BINDING_MOAD, , , , 
2W8Y, NDR, BINDING_DB, NA, NA, NA, NA
3G8O, 30X, BINDING_MOAD, ic50, 125, =, nM
3G8O, 30X, BINDING_MOAD, ic50, 125, =, nM
1ZUC, T98, PDB_BIND, IC50, =, 1.7, nM
1ZUC, T98, BINDING_MOAD, ic50, 1.7, =, nM
1ZUC, T98, BINDING_MOAD, ic50, 1.7, =, nM
1ZUC, T98, BINDING_DB, NA, NA, NA, NA
1A28, STR, PDB_BIND, Ki, =, 5.1, nM
1A28, STR, BINDING_MOAD, , , , 
1A28, STR, BINDING_MOAD, , , , 
1A28, STR, BINDING_DB, NA, NA, NA, NA
3D90, NOG, BINDING_MOAD, , , , 
3D90, NOG, BINDING_MOAD, , , , 
3D90, NOG, BINDING_DB, NA, NA, NA, NA
3ZRA, ORB, BINDING_MOAD, , , , 
3ZRA, ORB, BINDING_MOAD, , , , 
2OVM, AS0, BINDING_DB, NA, NA, NA, NA
3HQ5, GKK, PDB_BIND, IC50, =, 16, nM
3HQ5, GKK, BINDING_MOAD, ic50, 16, =, nM
3HQ5, GKK, BINDING_MOAD, ic50, 16, =, nM
3HQ5, GKK, BINDING_DB, NA, NA, NA, NA
1SQN, NDR, PDB_BIND, Kd, =, 0.4, nM
1SQN, NDR, BINDING_MOAD, Kd, 0.4, =, nM
1SQN, NDR, BINDING_MOAD, Kd, 0.4, =, nM
1SQN, NDR, BINDING_DB, NA, NA, NA, NA
2OVH, AS0, BINDING_MOAD, ic50, 1, =, nM
2OVH, AS0, BINDING_DB, NA, NA, NA, NA
1E3K, R18, BINDING_DB, NA, NA, NA, NA
nM
1SQN, NDR, BINDING_DB, NA, NA, NA, NA
2OVH, AS0, BINDING_MOAD, ic50, 1, =, nM
2OVH, AS0, BINDING_DB, NA, NA, NA, NA
1E3K, R18, BINDING_DB, NA, NA, NA, NA
