PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1NWL, 964, PDB_BIND, Ki, =, 4.1, mM
1NWL, 964, BINDING_MOAD, , , , 
1Q1M, 234, PDB_BIND, Ki, =, 6.9, uM
1Q1M, 234, BINDING_DB, NA, NA, NA, NA
1T4J, FRJ, PDB_BIND, IC50, =, 8, uM
1T4J, FRJ, BINDING_DB, NA, NA, NA, NA
2QBQ, 4B3, PDB_BIND, Ki, =, 0.036, uM
2QBQ, 4B3, BINDING_MOAD, Ki, 0.036, =, uM
2QBQ, 4B3, BINDING_DB, NA, NA, NA, NA
2QBP, 527, PDB_BIND, Ki, =, 0.004, uM
2QBP, 527, BINDING_MOAD, Ki, 0.004, =, uM
2QBP, 527, BINDING_DB, NA, NA, NA, NA
2QBS, 024, PDB_BIND, Ki, =, 0.21, uM
2QBS, 024, BINDING_MOAD, Ki, 0.21, =, uM
2QBS, 024, BINDING_DB, NA, NA, NA, NA
2QBR, 910, PDB_BIND, Ki, =, 0.47, uM
2QBR, 910, BINDING_MOAD, Ki, 0.47, =, uM
2QBR, 910, BINDING_DB, NA, NA, NA, NA
1Q6M, P27, PDB_BIND, IC50, =, 0.013, uM
1Q6M, P27, BINDING_MOAD, ic50, 0.013, =, uM
1Q6M, P27, BINDING_DB, NA, NA, NA, NA
2F71, UN7, PDB_BIND, IC50, =, 2.5, uM
2F71, UN7, BINDING_MOAD, ic50, 2.5, =, uM
2F71, UN7, BINDING_DB, NA, NA, NA, NA
1PTV, PTR, BINDING_MOAD, , , , 
1PTU, PTR, BINDING_DB, NA, NA, NA, NA
1PTT, PTR, BINDING_DB, NA, NA, NA, NA
1PTY, PTR, BINDING_MOAD, , , , 
1PTY, PTR, BINDING_MOAD, , , , 
1PTY, PTR, BINDING_DB, NA, NA, NA, NA
2B07, 598, PDB_BIND, Ki, =, 0.37, uM
2B07, 598, BINDING_MOAD, Ki, 0.37, =, uM
2B07, 598, BINDING_DB, NA, NA, NA, NA
1KAK, FNP, PDB_BIND, IC50, =, 26, uM
1KAK, FNP, BINDING_MOAD, ic50, 26, =, uM
1KAK, FNP, BINDING_DB, NA, NA, NA, NA
1WAX, LO1, PDB_BIND, IC50, =, 86, uM
1WAX, LO1, BINDING_MOAD, ic50, 86, =, uM
1BZH, FLT, BINDING_DB, NA, NA, NA, NA
1ONZ, 968, PDB_BIND, Kd, =, 8, uM
1ONZ, 968, BINDING_MOAD, , , , 
1ONZ, 968, BINDING_DB, NA, NA, NA, NA
2VEY, IZ5, PDB_BIND, IC50, =, 43, nM
2VEY, IZ5, BINDING_MOAD, ic50, 43, =, nM
1ONY, 588, PDB_BIND, Ki, =, 0.17, uM
1ONY, 588, BINDING_MOAD, , , , 
1ONY, 588, BINDING_DB, NA, NA, NA, NA
1JF7, TBH, BINDING_MOAD, , , , 
1JF7, TBH, BINDING_DB, NA, NA, NA, NA
1NNY, 515, PDB_BIND, Ki, =, 22, nM
1NNY, 515, BINDING_MOAD, , , , 
1NNY, 515, BINDING_DB, NA, NA, NA, NA
2VEW, IZ3, PDB_BIND, IC50, =, 64, nM
2VEW, IZ3, BINDING_MOAD, ic50, 64, =, nM
2VEV, IZ2, PDB_BIND, IC50, =, 300, nM
2VEV, IZ2, BINDING_MOAD, ic50, 1300, =, nM
2VEU, IZ1, PDB_BIND, IC50, =, 100, nM
2VEU, IZ1, BINDING_MOAD, ic50, 2900, =, nM
