PDB_ID	LIG_ID
2AZR	lig
1BZC	TPI
1BZJ	PIC
1C83	OAI
1C84	761
1C85	OBA
1C86	OPA
1C87	OPA
1C88	OTA
1G7F	INZ
1G7G	INX
1GFY	COL
1KAK	FNP
1KAV	FEP
1L8G	DBD
1LQF	BGD
1NL9	989
1NNY	515
1NO6	794
1NWE	FG1
1NWL	964
1NZ7	901
1ONY	588
1ONZ	968
1PH0	418
1PTV	PTR
1PXH	SNA
1PYN	941
1Q1M	234
1Q6J	335
1Q6M	P27
1QXK	429
1WAX	LO1
1XBO	IX1
2B07	598
2BGD	T1D
2BGE	T2D
2CM7	IZD
2CM8	F16
2CMA	F20
2CMB	F17
2CMC	DFM
2CNE	DFJ
2CNF	F32
2CNH	IZB
2CNI	IZF
2F6W	UN3
2F6Y	ENT
2F6Z	UN5
2F70	UN6
2F71	UN7
2H4G	694
2H4K	509
2HB1	512
2HNQ	WO4
2NT7	902
2NTA	521
2QBP	527
2QBQ	4B3
2QBR	910
2QBS	024
2VEU	IZ1
2VEV	IZ2
2VEW	IZ3
2VEX	IZ4
2VEY	IZ5
2ZMM	35B
2ZN7	410
3CWE	825
3D9C	ZYZ
3EAX	LZP
3EB1	LZQ
4I8N	1CG
4Y14	C0A
5K9W	OTA
5KA3	OTA
5KA7	OTA
5KA9	OTA
5KAB	OTA
5KAD	OTA
5T19	73U
