PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1RBM, KT5, BINDING_MOAD, Ki, 4, =, nM
1RBM, KT5, BINDING_MOAD, Ki, 4, =, nM
1RBQ, KEU, BINDING_MOAD, , , , 
1RBQ, KEU, BINDING_MOAD, , , , 
1RBQ, KEU, BINDING_MOAD, , , , 
1RBQ, KEU, BINDING_MOAD, , , , 
1RBZ, KT5, BINDING_MOAD, Ki, 4, =, nM
1RBZ, KT5, BINDING_MOAD, Ki, 4, =, nM
1RBY, GAR, BINDING_MOAD, , , , 
1RBY, GAR, BINDING_MOAD, , , , 
1RBY, KEU, BINDING_MOAD, , , , 
1RBY, KEU, BINDING_MOAD, , , , 
1RBY, KEU, BINDING_MOAD, , , , 
1RBY, KEU, BINDING_MOAD, , , , 
1RC0, KT5, BINDING_MOAD, Ki, 4, =, nM
1RC0, KT5, BINDING_MOAD, Ki, 4, =, nM
1RC1, KT3, BINDING_MOAD, , , , 
1RC1, KT3, BINDING_MOAD, , , , 
1MEN, GAR, BINDING_MOAD, , , , 
1MEN, GAR, BINDING_MOAD, , , , 
1MEN, GAR, BINDING_MOAD, , , , 
1ZLY, DQB, BINDING_MOAD, , , , 
1ZLY, GRF, BINDING_MOAD, , , , 
4EW2, DXY, PDB_BIND, Ki, =, 0.21, uM
4EW2, DXY, BINDING_MOAD, , , , 
4EW3, DXZ, PDB_BIND, Ki, =, 0.18, uM
4EW3, DXZ, BINDING_MOAD, Ki, 0.18, =, uM
uM
4EW2, DXY, BINDING_MOAD, , , , 
4EW3, DXZ, PDB_BIND, Ki, =, 0.18, uM
4EW3, DXZ, BINDING_MOAD, Ki, 0.18, =, uM
