PDB_ID	Reason
1D3H	Two ligands in / near same reference pocket
2B0M	Two ligands in / near same reference pocket
2BXV	Two ligands in / near same reference pocket
2FPT	Two ligands in / near same reference pocket
2FPV	Two ligands in / near same reference pocket
2FPY	Two ligands in / near same reference pocket
2FQI	Two ligands in / near same reference pocket
2PRH	Two ligands in / near same reference pocket
2PRL	Two ligands in / near same reference pocket
2PRM	Two ligands in / near same reference pocket
2WV8	Two ligands in / near same reference pocket
3F1Q	Two ligands in / near same reference pocket
3FJ6	Two ligands in / near same reference pocket
3FJL	Two ligands in / near same reference pocket
3G0U	Two ligands in / near same reference pocket
3G0X	Two ligands in / near same reference pocket
3KVJ	Two ligands in / near same reference pocket
3KVK	Two ligands in / near same reference pocket
3KVL	Two ligands in / near same reference pocket
3KVM	Two ligands in / near same reference pocket
3U2O	Two ligands in / near same reference pocket
3W7R	Two ligands in / near same reference pocket
3ZWS	Two ligands in / near same reference pocket
3ZWT	Two ligands in / near same reference pocket
4IGH	Two ligands in / near same reference pocket
4JGD	Two ligands in / near same reference pocket
4JS3	Two ligands in / near same reference pocket
4JTU	Two ligands in / near same reference pocket
4LS0	Two ligands in / near same reference pocket
4LS1	Two ligands in / near same reference pocket
4LS2	Two ligands in / near same reference pocket
4OQV	Two ligands in / near same reference pocket
4RK8	Two ligands in / near same reference pocket
4RKA	Two ligands in / near same reference pocket
4RLI	Two ligands in / near same reference pocket
4RR4	Two ligands in / near same reference pocket
4ZMG	Two ligands in / near same reference pocket
5HIN	Two ligands in / near same reference pocket
5K9C	Two ligands in / near same reference pocket
5MVD	Two ligands in / near same reference pocket
