PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2WV8, FMN, BINDING_MOAD, , , , 
2WV8, FMN, BINDING_DB, NA, NA, NA, NA
2WV8, VGN, BINDING_MOAD, ic50, 0.21, =, uM
3U2O, 03U, BINDING_MOAD, ic50, 110, =, nM
3U2O, 03U, BINDING_DB, NA, NA, NA, NA
3U2O, FMN, BINDING_MOAD, , , , 
3U2O, FMN, BINDING_DB, NA, NA, NA, NA
3U2O, ORO, BINDING_MOAD, , , , 
3ZWT, FMN, BINDING_MOAD, , , , 
3ZWT, FMN, BINDING_DB, NA, NA, NA, NA
3ZWT, KFZ, BINDING_MOAD, ic50, 0.013, =, uM
3ZWT, KFZ, BINDING_DB, NA, NA, NA, NA
3ZWT, ORO, BINDING_MOAD, , , , 
3ZWS, AVQ, BINDING_MOAD, ic50, 0.051, =, uM
3ZWS, AVQ, BINDING_DB, NA, NA, NA, NA
3ZWS, FMN, BINDING_MOAD, , , , 
3ZWS, FMN, BINDING_DB, NA, NA, NA, NA
3ZWS, ORO, BINDING_MOAD, , , , 
2FQI, FMN, BINDING_MOAD, , , , 
2FQI, FMN, BINDING_DB, NA, NA, NA, NA
2FQI, ILH, BINDING_MOAD, ic50, 7, =, nM
2FQI, ORO, BINDING_MOAD, , , , 
3KVK, 6X1, BINDING_MOAD, ic50, 0.7, =, uM
3KVK, 6X1, BINDING_DB, NA, NA, NA, NA
3KVK, DOR, BINDING_MOAD, , , , 
3KVK, FMN, BINDING_MOAD, , , , 
3KVK, FMN, BINDING_DB, NA, NA, NA, NA
4IGH, 1EA, BINDING_MOAD, ic50, 1, =, nM
4IGH, 1EA, BINDING_DB, NA, NA, NA, NA
4IGH, FMN, BINDING_MOAD, , , , 
4IGH, ORO, BINDING_MOAD, , , , 
2B0M, 201, BINDING_MOAD, , , , 
2B0M, 201, BINDING_DB, NA, NA, NA, NA
2B0M, FMN, BINDING_MOAD, , , , 
2B0M, FMN, BINDING_DB, NA, NA, NA, NA
2B0M, ORO, BINDING_MOAD, , , , 
2FPT, FMN, BINDING_MOAD, , , , 
2FPT, FMN, BINDING_DB, NA, NA, NA, NA
2FPT, ILB, BINDING_MOAD, ic50, 33, =, nM
2FPT, ILB, BINDING_DB, NA, NA, NA, NA
2FPT, ORO, BINDING_MOAD, , , , 
2FPV, FMN, BINDING_MOAD, , , , 
2FPV, FMN, BINDING_DB, NA, NA, NA, NA
2FPV, ILC, BINDING_MOAD, ic50, 44, =, nM
2FPV, ILC, BINDING_DB, NA, NA, NA, NA
2FPV, ORO, BINDING_MOAD, , , , 
1D3H, A26, BINDING_MOAD, , , , 
1D3H, A26, BINDING_DB, NA, NA, NA, NA
1D3H, FMN, BINDING_MOAD, , , , 
1D3H, FMN, BINDING_DB, NA, NA, NA, NA
1D3H, ORO, BINDING_MOAD, , , , 
2BXV, 3FT, BINDING_MOAD, ic50, 280, =, nM
2BXV, 3FT, BINDING_DB, NA, NA, NA, NA
2BXV, FMN, BINDING_MOAD, , , , 
2BXV, FMN, BINDING_DB, NA, NA, NA, NA
2BXV, ORO, BINDING_MOAD, , , , 
2FPY, FMN, BINDING_MOAD, , , , 
2FPY, FMN, BINDING_DB, NA, NA, NA, NA
2FPY, ILF, BINDING_MOAD, ic50, 2, =, nM
2FPY, ILF, BINDING_DB, NA, NA, NA, NA
2FPY, ORO, BINDING_MOAD, , , , 
2PRL, FMN, BINDING_MOAD, , , , 
2PRL, FMN, BINDING_DB, NA, NA, NA, NA
2PRL, ORO, BINDING_MOAD, , , , 
2PRL, R2C, BINDING_MOAD, ic50, 81, =, nM
2PRM, FMN, BINDING_DB, NA, NA, NA, NA
2PRH, 238, BINDING_MOAD, ic50, 15, =, nM
2PRH, FMN, BINDING_MOAD, , , , 
2PRH, FMN, BINDING_DB, NA, NA, NA, NA
2PRH, ORO, BINDING_MOAD, , , , 
3FJL, CJH, BINDING_MOAD, ic50, 0.13, =, uM
3FJL, CJH, BINDING_DB, NA, NA, NA, NA
3FJL, FMN, BINDING_MOAD, , , , 
3FJL, FMN, BINDING_DB, NA, NA, NA, NA
3FJL, ORO, BINDING_MOAD, , , , 
3F1Q, BCE, BINDING_MOAD, ic50, 0.117, =, uM
3F1Q, BCE, BINDING_DB, NA, NA, NA, NA
3F1Q, FMN, BINDING_MOAD, , , , 
3F1Q, FMN, BINDING_DB, NA, NA, NA, NA
3F1Q, ORO, BINDING_MOAD, , , , 
3G0X, FMN, BINDING_MOAD, , , , 
3G0X, FMN, BINDING_DB, NA, NA, NA, NA
