PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3KM4, 22X, PDB_BIND, IC50, =, 1.3, nM
3KM4, 22X, BINDING_MOAD, ic50, 1.3, =, nM
3KM4, 22X, BINDING_MOAD, ic50, 1.3, =, nM
3KM4, 22X, BINDING_MOAD, ic50, 1.3, =, nM
3KM4, 22X, BINDING_MOAD, ic50, 1.3, =, nM
3KM4, 22X, BINDING_DB, NA, NA, NA, NA
3GW5, 72X, PDB_BIND, IC50, =, 0.47, nM
3GW5, 72X, BINDING_MOAD, ic50, 0.47, =, nM
3GW5, 72X, BINDING_MOAD, ic50, 0.47, =, nM
3GW5, 72X, BINDING_DB, NA, NA, NA, NA
3K1W, BFX, BINDING_MOAD, , , , 
3K1W, BFX, BINDING_MOAD, , , , 
2IKO, 7IG, PDB_BIND, Kd, =, 3571, nM
2IKO, 7IG, BINDING_MOAD, Kd, 3571, =, nM
2IKO, 7IG, BINDING_DB, NA, NA, NA, NA
3Q5H, RX6, PDB_BIND, IC50, =, 0.56, uM
3Q5H, RX6, BINDING_DB, NA, NA, NA, NA
2V0Z, C41, PDB_BIND, IC50, =, 0.6, nM
2V0Z, C41, BINDING_MOAD, ic50, 0.0006, =, uM
2V0Z, C41, BINDING_MOAD, ic50, 0.0006, =, uM
2V0Z, C41, BINDING_DB, NA, NA, NA, NA
3Q3T, RX0, PDB_BIND, IC50, =, 37, nM
3Q3T, RX0, BINDING_DB, NA, NA, NA, NA
2IKU, LIY, PDB_BIND, Kd, =, 79, nM
2IKU, LIY, BINDING_DB, NA, NA, NA, NA
2FS4, PZ1, BINDING_MOAD, ic50, 37, =, nM
2FS4, PZ1, BINDING_DB, NA, NA, NA, NA
4GJ5, 0LR, BINDING_MOAD, , , , 
4GJ5, 0LR, BINDING_MOAD, , , , 
2V16, C47, PDB_BIND, IC50, =, 6, nM
2V16, C47, BINDING_DB, NA, NA, NA, NA
4GJ7, 0LT, PDB_BIND, IC50, =, 0.17, uM
4GJ7, 0LT, BINDING_DB, NA, NA, NA, NA
4GJ6, 0LS, PDB_BIND, IC50, =, 7.6, uM
4GJ6, 0LS, BINDING_DB, NA, NA, NA, NA
2V13, C40, PDB_BIND, IC50, =, 26, nM
2V13, C40, BINDING_DB, NA, NA, NA, NA
1RNE, C60, PDB_BIND, IC50, =, 2, nM
1RNE, C60, BINDING_MOAD, ic50, 2, =, nM
1RNE, C60, BINDING_DB, NA, NA, NA, NA
2V10, C61, PDB_BIND, IC50, =, 0.4, nM
2V10, C61, BINDING_DB, NA, NA, NA, NA
4GJ8, 0LU, BINDING_MOAD, , , , 
4GJ8, 0LU, BINDING_MOAD, , , , 
4GJ8, 0LW, BINDING_MOAD, , , , 
2I4Q, UA4, BINDING_MOAD, ic50, 0.007, =, uM
