PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3TV7, 07Q, PDB_BIND, IC50, =, 30, nM
3NCZ, 3NC, PDB_BIND, IC50, =, 15, nM
3NCZ, 3NC, BINDING_DB, NA, NA, NA, NA
2V55, ANP, BINDING_DB, NA, NA, NA, NA
2ETK, HFS, PDB_BIND, Ki, =, 0.15, uM
2ETK, HFS, BINDING_DB, NA, NA, NA, NA
3V8S, 0HD, PDB_BIND, IC50, =, 0.65, uM
3V8S, 0HD, BINDING_MOAD, ic50, 0.65, =, uM
3V8S, 0HD, BINDING_MOAD, ic50, 0.65, =, uM
3V8S, 0HD, BINDING_MOAD, ic50, 0.65, =, uM
3V8S, 0HD, BINDING_MOAD, ic50, 0.65, =, uM
3V8S, 0HD, BINDING_DB, NA, NA, NA, NA
2ESM, M77, PDB_BIND, Ki, =, 0.53, uM
2ESM, M77, BINDING_DB, NA, NA, NA, NA
3D9V, H52, PDB_BIND, Ki, =, 6, nM
3D9V, H52, BINDING_DB, NA, NA, NA, NA
3NDM, 3ND, PDB_BIND, IC50, =, 11, nM
3NDM, 3ND, BINDING_DB, NA, NA, NA, NA
3TWJ, 07R, PDB_BIND, IC50, =, 14.5, nM
