PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1FM9, 570, PDB_BIND, Ki, =, 1, nM
1FM9, 570, BINDING_MOAD, Ki, 1, =, nM
1FM9, 570, BINDING_DB, NA, NA, NA, NA
1FM9, 9CR, BINDING_MOAD, , , , 
1RDT, 570, BINDING_MOAD, , , , 
1RDT, 570, BINDING_DB, NA, NA, NA, NA
1RDT, L79, PDB_BIND, Ki, =, 200, nM
1RDT, L79, BINDING_MOAD, Ki, 6, =, nM
3PCU, LX8, PDB_BIND, Kd, =, 5.08, uM
3PCU, LX8, BINDING_MOAD, , , , 
3FUG, 2E3, BINDING_MOAD, , , , 
1FM6, 9CR, BINDING_MOAD, , , , 
1FM6, 9CR, BINDING_MOAD, , , , 
1FM6, BRL, BINDING_MOAD, , , , 
1FM6, BRL, BINDING_MOAD, , , , 
1FM6, BRL, BINDING_DB, NA, NA, NA, NA
3OZJ, BGV, PDB_BIND, Kd, =, 7.7, uM
3OZJ, BGV, BINDING_MOAD, , , , 
3OZJ, BGV, BINDING_MOAD, , , , 
3FC6, LX2, BINDING_MOAD, , , , 
3FC6, LX2, BINDING_MOAD, , , , 
3FC6, LX2, BINDING_DB, NA, NA, NA, NA
3FC6, REA, BINDING_MOAD, , , , 
3FC6, REA, BINDING_MOAD, , , , 
3FC6, REA, BINDING_DB, NA, NA, NA, NA
4K4J, 1O8, PDB_BIND, Kd, =, 0.752, uM
4K4J, 1O8, BINDING_MOAD, , , , 
2ACL, L05, BINDING_DB, NA, NA, NA, NA
2ACL, REA, BINDING_DB, NA, NA, NA, NA
3E94, TBY, BINDING_MOAD, , , , 
2P1U, 4TN, BINDING_MOAD, , , , 
2P1T, 3TN, BINDING_MOAD, , , , 
2P1V, 5TN, BINDING_MOAD, , , , 
3KWY, T9T, BINDING_MOAD, , , , 
3R5M, MLO, PDB_BIND, Kd, =, 45.7, uM
3R5M, MLO, BINDING_DB, NA, NA, NA, NA
1MZN, BM6, BINDING_MOAD, , , , 
1MZN, BM6, BINDING_MOAD, , , , 
1MZN, BM6, BINDING_MOAD, , , , 
1MZN, BM6, BINDING_MOAD, , , , 
1MZN, BM6, BINDING_DB, NA, NA, NA, NA
3H0A, 9RA, BINDING_MOAD, , , , 
3H0A, 9RA, BINDING_DB, NA, NA, NA, NA
3H0A, D30, PDB_BIND, Ki, =, 33, nM
3H0A, D30, BINDING_MOAD, Ki, 0.033, =, uM
3H0A, D30, BINDING_DB, NA, NA, NA, NA
1K74, 544, BINDING_MOAD, , , , 
1K74, 544, BINDING_DB, NA, NA, NA, NA
1K74, 9CR, BINDING_MOAD, , , , 
3A9E, 754, BINDING_DB, NA, NA, NA, NA
3A9E, REA, BINDING_DB, NA, NA, NA, NA
4K6I, 9RA, PDB_BIND, Kd, =, 0.629, uM
4K6I, 9RA, BINDING_MOAD, , , , 
4K6I, 9RA, BINDING_DB, NA, NA, NA, NA
3NSQ, CHZ, PDB_BIND, Kd, =, 6.2, uM
3FAL, LO2, PDB_BIND, IC50, =, 165, nM
3FAL, LO2, BINDING_MOAD, ic50, 165, =, nM
3FAL, LO2, BINDING_MOAD, ic50, 165, =, nM
3FAL, LO2, BINDING_DB, NA, NA, NA, NA
3FAL, REA, BINDING_MOAD, , , , 
3FAL, REA, BINDING_MOAD, , , , 
3FAL, REA, BINDING_DB, NA, NA, NA, NA
1MVC, BM6, BINDING_MOAD, , , , 
1MVC, BM6, BINDING_DB, NA, NA, NA, NA
1DKF, BMS, BINDING_MOAD, , , , 
1DKF, OLA, BINDING_MOAD, , , , 
1DKF, OLA, BINDING_DB, NA, NA, NA, NA
3UVV, T3, BINDING_DB, NA, NA, NA, NA
3R2A, RHN, PDB_BIND, IC50, =, 0.75, uM
3R2A, RHN, BINDING_DB, NA, NA, NA, NA
HN, PDB_BIND, IC50, =, 0.75, uM
3R2A, RHN, BINDING_DB, NA, NA, NA, NA
