PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1A7A, ADC, BINDING_DB, NA, NA, NA, NA
3NJ4, AFX, BINDING_MOAD, ic50, 0.48, =, uM
3NJ4, AFX, BINDING_MOAD, ic50, 0.48, =, uM
3NJ4, AFX, BINDING_MOAD, ic50, 0.48, =, uM
3NJ4, AFX, BINDING_MOAD, ic50, 0.48, =, uM
3NJ4, NAD, BINDING_MOAD, , , , 
3NJ4, NAD, BINDING_MOAD, , , , 
3NJ4, NAD, BINDING_MOAD, , , , 
3NJ4, NAD, BINDING_MOAD, , , , 
1D4F, ADN, BINDING_DB, NA, NA, NA, NA
1K0U, DEA, BINDING_DB, NA, NA, NA, NA
1XWF, ADN, BINDING_DB, NA, NA, NA, NA
INDING_DB, NA, NA, NA, NA
1K0U, DEA, BINDING_DB, NA, NA, NA, NA
1XWF, ADN, BINDING_DB, NA, NA, NA, NA
