PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3UQG, B5A, BINDING_MOAD, , , , 
3UQG, B5A, BINDING_MOAD, , , , 
3DQW, AGS, BINDING_MOAD, , , , 
3DQW, AGS, BINDING_MOAD, , , , 
3DQW, AGS, BINDING_MOAD, , , , 
3DQW, AGS, BINDING_MOAD, , , , 
3DQW, PTR, BINDING_DB, NA, NA, NA, NA
3G6G, G6G, PDB_BIND, IC50, =, 2.8, nM
3G6G, G6G, BINDING_MOAD, ic50, 18, =, nM
3G6G, G6G, BINDING_MOAD, ic50, 18, =, nM
3G6H, G6H, PDB_BIND, IC50, =, 6.4, nM
3G6H, G6H, BINDING_MOAD, ic50, 4.6, =, nM
3SVV, VSP, PDB_BIND, IC50, =, 114, nM
3OEZ, STI, BINDING_DB, NA, NA, NA, NA
4MCV, 29K, PDB_BIND, IC50, =, 1.3, nM
3DQX, AMP, BINDING_MOAD, , , , 
3DQX, AMP, BINDING_MOAD, , , , 
2QQ7, SR2, PDB_BIND, IC50, =, 5.71, uM
2QQ7, SR2, BINDING_DB, NA, NA, NA, NA
3TZ7, AQB, BINDING_DB, NA, NA, NA, NA
3F6X, IHH, BINDING_MOAD, , , , 
3F6X, IHH, BINDING_MOAD, , , , 
3F6X, IHH, BINDING_MOAD, , , , 
3F6X, IHH, BINDING_MOAD, , , , 
2QLQ, SR2, PDB_BIND, IC50, =, 236, nM
2QLQ, SR2, BINDING_DB, NA, NA, NA, NA
4LGG, VGG, PDB_BIND, IC50, =, 3, nM
4LGG, VGG, BINDING_MOAD, ic50, 4, =, nM
4LGG, VGG, BINDING_MOAD, ic50, 4, =, nM
4LGH, 0JN, PDB_BIND, IC50, =, 2, nM
4LGH, 0JN, BINDING_DB, NA, NA, NA, NA
3UQF, BK5, BINDING_MOAD, Ki, 0.2, =, uM
3UQF, BK5, BINDING_MOAD, Ki, 0.2, =, uM
3UQF, BK5, BINDING_DB, NA, NA, NA, NA
3D7T, STU, BINDING_DB, NA, NA, NA, NA
3LOK, DJK, PDB_BIND, IC50, =, 120, nM
3LOK, DJK, BINDING_DB, NA, NA, NA, NA
4MXO, DB8, BINDING_DB, NA, NA, NA, NA
3QLG, 1N1, BINDING_DB, NA, NA, NA, NA
3GEQ, PP2, BINDING_MOAD, , , , 
3GEQ, PP2, BINDING_MOAD, , , , 
3GEQ, PP2, BINDING_DB, NA, NA, NA, NA
3TZ9, AQU, BINDING_DB, NA, NA, NA, NA
3TZ8, AQM, BINDING_DB, NA, NA, NA, NA
3G5D, 1N1, PDB_BIND, Kd, =, 11, nM
3G5D, 1N1, BINDING_MOAD, ic50, 0.0004, =, uM
3G5D, 1N1, BINDING_MOAD, ic50, 0.0004, =, uM
3G5D, 1N1, BINDING_DB, NA, NA, NA, NA
1YOL, S03, BINDING_MOAD, , , , 
1YOL, S03, BINDING_MOAD, , , , 
4FIC, 0UL, PDB_BIND, IC50, =, 20, uM
4FIC, 0UL, BINDING_MOAD, ic50, 20, =, uM
4FIC, 0UL, BINDING_MOAD, ic50, 20, =, uM
4FIC, 0UL, BINDING_DB, NA, NA, NA, NA
2OIQ, STI, PDB_BIND, Kd, =, 10, uM
2OIQ, STI, BINDING_MOAD, Kd, 42, =, uM
2OIQ, STI, BINDING_DB, NA, NA, NA, NA
3F3V, 1BU, PDB_BIND, Kd, =, 73, nM
3F3V, 1BU, BINDING_DB, NA, NA, NA, NA
3F3W, 1BU, PDB_BIND, IC50, =, 34, nM
3F3W, 1BU, BINDING_DB, NA, NA, NA, NA
3F3T, 1AU, PDB_BIND, Kd, =, 26, uM
3F3T, 1AU, BINDING_MOAD, ic50, 64.1, =, uM
3F3T, 1AU, BINDING_MOAD, ic50, 64.1, =, uM
3F3T, 1AU, BINDING_DB, NA, NA, NA, NA
3F3U, 1AW, PDB_BIND, Kd, =, 18, uM
3F3U, 1AW, BINDING_MOAD, ic50, 1, <, uM
3F3U, 1AW, BINDING_MOAD, ic50, 1, <, uM
3F3U, 1AW, BINDING_MOAD, ic50, 1, <, uM
3F3U, 1AW, BINDING_DB, NA, NA, NA, NA
4MXY, DB8, BINDING_DB, NA, NA, NA, NA
4MXX, DB8, BINDING_DB, NA, NA, NA, NA
4MXZ, DB8, BINDING_DB, NA, NA, NA, NA
2BDJ, HET, PDB_BIND, IC50, =, 0.45, nM
2BDJ, HET, BINDING_MOAD, ic50, 0.00045, =, uM
2BDJ, HET, BINDING_DB, NA, NA, NA, NA
2BDF, 24A, PDB_BIND, IC50, =, 0.067, uM
2BDF, 24A, BINDING_MOAD, ic50, 0.067, =, uM
2BDF, 24A, BINDING_MOAD, ic50, 0.067, =, uM
2BDF, 24A, BINDING_DB, NA, NA, NA, NA
2HWO, RBS, PDB_BIND, IC50, =, 0.126, uM
2HWO, RBS, BINDING_DB, NA, NA, NA, NA
4DGG, I76, PDB_BIND, IC50, =, 800, nM
4DGG, I76, BINDING_DB, NA, NA, NA, NA
2HWP, DJK, PDB_BIND, IC50, =, 0.073, uM
2HWP, DJK, BINDING_DB, NA, NA, NA, NA
1YI6, PTR, BINDING_DB, NA, NA, NA, NA
1YOM, P01, BINDING_DB, NA, NA, NA, NA
3EL7, PD3, PDB_BIND, IC50, =, 0.48, uM
3EN6, KS5, BINDING_MOAD, ic50, 0.235, =, uM
3EN4, KS1, BINDING_DB, NA, NA, NA, NA
3EN5, KS4, BINDING_DB, NA, NA, NA, NA
M
3EN4, KS1, BINDING_DB, NA, NA, NA, NA
3EN5, KS4, BINDING_DB, NA, NA, NA, NA
