PDB_ID	LIG_ID
3EL8	lig
1YOL	S03
1YOM	P01
2BDF	24A
2HWO	RBS
2HWP	DJK
2OIQ	STI
2QLQ	SR2
2QQ7	SR2
3D7T	STU
3DQW	AGS
3DQX	AMP
3EL7	PD3
3EN4	KS1
3EN5	KS4
3EN7	ABJ
3F3V	1BU
3F3W	1BU
3F6X	IHH
3G5D	1N1
3G6G	G6G
3GEQ	PP2
3LOK	DJK
3OEZ	STI
3QLF	PD5
3QLG	1N1
3SVV	VSP
3TZ7	AQB
3TZ8	AQM
3TZ9	AQU
3UQF	BK5
3UQG	B5A
4DGG	I76
4FIC	0UL
4LGG	VGG
4LGH	0JN
4MCV	29K
4MXO	DB8
4MXX	DB8
4MXY	DB8
4MXZ	DB8
4O2P	11V
4U5J	RXT
4YBJ	4A9
4YBK	4B7
5D10	563
5D11	56G
5D12	G97
5J5S	6G3
5K9I	O44
5SWH	71D
5SYS	72F
5T0P	73A
5TEH	S56
5XP7	8C6
