PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1RW8, 580, PDB_BIND, IC50, =, 0.175, uM
1RW8, 580, BINDING_MOAD, ic50, 0.175, =, uM
1RW8, 580, BINDING_DB, NA, NA, NA, NA
1PY5, PY1, PDB_BIND, IC50, =, 51, nM
1PY5, PY1, BINDING_MOAD, ic50, 51, =, nM
1PY5, PY1, BINDING_DB, NA, NA, NA, NA
1VJY, 460, PDB_BIND, IC50, =, 0.023, uM
1VJY, 460, BINDING_MOAD, Ki, 0.023, =, uM
1VJY, 460, BINDING_DB, NA, NA, NA, NA
2X7O, ZOP, PDB_BIND, IC50, =, 34, nM
2X7O, ZOP, BINDING_DB, NA, NA, NA, NA
2WOT, ZZG, PDB_BIND, IC50, =, 44, nM
2WOT, ZZG, BINDING_MOAD, ic50, 44, =, nM
2WOT, ZZG, BINDING_DB, NA, NA, NA, NA
2WOU, ZZF, PDB_BIND, IC50, =, 72, nM
2WOU, ZZF, BINDING_MOAD, ic50, 72, =, nM
2WOU, ZZF, BINDING_DB, NA, NA, NA, NA
3TZM, 085, PDB_BIND, Ki, =, 17, nM
3TZM, 085, BINDING_MOAD, , , , 
3TZM, 085, BINDING_DB, NA, NA, NA, NA
3GXL, QIG, PDB_BIND, IC50, =, 0.025, uM
3GXL, QIG, BINDING_MOAD, ic50, 0.025, =, uM
3GXL, QIG, BINDING_DB, NA, NA, NA, NA
3FAA, 55F, PDB_BIND, Ki, =, 7.1, nM
3FAA, 55F, BINDING_DB, NA, NA, NA, NA
3KCF, JZO, PDB_BIND, Ki, =, 0.035, uM
3KCF, JZO, BINDING_DB, NA, NA, NA, NA
