PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2PIN, 4HY, BINDING_MOAD, , , , 
2PIN, 4HY, BINDING_MOAD, , , , 
2PIN, 4HY, BINDING_DB, NA, NA, NA, NA
2PIN, LEG, BINDING_MOAD, , , , 
2PIN, LEG, BINDING_MOAD, , , , 
2PIN, LEG, BINDING_DB, NA, NA, NA, NA
1NQ2, 4HY, BINDING_MOAD, , , , 
1NQ2, 4HY, BINDING_DB, NA, NA, NA, NA
2J4A, OEF, PDB_BIND, IC50, =, 0.025, nM
2J4A, OEF, BINDING_MOAD, , , , 
2J4A, OEF, BINDING_DB, NA, NA, NA, NA
1NQ0, 4HY, PDB_BIND, IC50, =, 0.048, nM
1NQ0, 4HY, BINDING_MOAD, , , , 
1NQ0, 4HY, BINDING_DB, NA, NA, NA, NA
1NQ1, 4HY, BINDING_DB, NA, NA, NA, NA
1R6G, 442, PDB_BIND, IC50, =, 0.62, nM
1R6G, 442, BINDING_DB, NA, NA, NA, NA
3IMY, B72, PDB_BIND, Kd, =, 0.2, nM
3IMY, B72, BINDING_DB, NA, NA, NA, NA
1XZX, T3, PDB_BIND, Kd, =, 0.06, nM
1XZX, T3, BINDING_MOAD, Kd, 0.06, =, nM
1XZX, T3, BINDING_DB, NA, NA, NA, NA
3JZC, 4HY, PDB_BIND, IC50, =, 2.94, nM
3JZC, 4HY, BINDING_MOAD, ic50, 1, ~, nM
3JZC, 4HY, BINDING_DB, NA, NA, NA, NA
1NUO, 4HY, BINDING_DB, NA, NA, NA, NA
3GWS, T3, PDB_BIND, Kd, =, 0.081, nM
3GWS, T3, BINDING_MOAD, , , , 
3GWS, T3, BINDING_DB, NA, NA, NA, NA
3D57, 4HY, BINDING_MOAD, , , , 
3D57, 4HY, BINDING_MOAD, , , , 
3D57, 4HY, BINDING_DB, NA, NA, NA, NA
1Y0X, T44, PDB_BIND, Kd, =, 2, nM
1Y0X, T44, BINDING_DB, NA, NA, NA, NA
1N46, PFA, PDB_BIND, Ki, =, 0.03, nM
1N46, PFA, BINDING_MOAD, Ki, 0.03, =, nM
1N46, PFA, BINDING_MOAD, Ki, 0.03, =, nM
1N46, PFA, BINDING_DB, NA, NA, NA, NA
1BSX, T3, BINDING_DB, NA, NA, NA, NA
1NAX, IH5, PDB_BIND, Ki, =, 0.37, uM
1NAX, IH5, BINDING_DB, NA, NA, NA, NA
