PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1GHZ, 120, PDB_BIND, Ki, =, 16, uM
1GHZ, 120, BINDING_MOAD, Ki, 16, =, uM
1GHZ, 120, BINDING_DB, NA, NA, NA, NA
2ZHD, 12U, PDB_BIND, Kd, =, 287, nM
2ZHD, 12U, BINDING_MOAD, , , , 
1O3M, 785, BINDING_MOAD, , , , 
1O3M, 785, BINDING_DB, NA, NA, NA, NA
1O3L, 678, PDB_BIND, Ki, =, 0.29, uM
1O3L, 678, BINDING_MOAD, , , , 
1O3L, 678, BINDING_DB, NA, NA, NA, NA
1O3N, 785, BINDING_MOAD, , , , 
1O3N, 785, BINDING_DB, NA, NA, NA, NA
1O3A, 780, BINDING_DB, NA, NA, NA, NA
4ABH, 7Z3, PDB_BIND, Kd, =, 71, uM
1O3E, 696, PDB_BIND, Ki, =, 0.011, uM
1O3E, 696, BINDING_MOAD, Ki, 0.011, =, uM
1O3E, 696, BINDING_DB, NA, NA, NA, NA
1O3D, 780, PDB_BIND, Ki, =, 0.074, uM
1O3D, 780, BINDING_MOAD, Ki, 0.074, =, uM
1O3D, 780, BINDING_DB, NA, NA, NA, NA
1O3G, 696, PDB_BIND, Ki, =, 0.011, uM
1O3G, 696, BINDING_MOAD, Ki, 0.011, =, uM
1O3G, 696, BINDING_DB, NA, NA, NA, NA
1O3F, 696, PDB_BIND, Ki, =, 0.011, uM
1O3F, 696, BINDING_MOAD, Ki, 0.011, =, uM
1O3F, 696, BINDING_DB, NA, NA, NA, NA
1O3I, 907, PDB_BIND, Ki, =, 0.05, uM
1O3I, 907, BINDING_MOAD, Ki, 0.05, =, uM
1O3I, 907, BINDING_DB, NA, NA, NA, NA
4ABB, K9S, PDB_BIND, Kd, =, 31, uM
4ABB, K9S, BINDING_DB, NA, NA, NA, NA
4ABA, SW1, PDB_BIND, Kd, =, 153, uM
1O3J, 334, PDB_BIND, Ki, =, 0.17, uM
1O3J, 334, BINDING_MOAD, Ki, 0.17, =, uM
1O3J, 334, BINDING_DB, NA, NA, NA, NA
4ABG, 91B, PDB_BIND, Kd, =, 271, uM
4ABF, 513, PDB_BIND, Kd, =, 24, uM
4ABE, 913, PDB_BIND, Kd, =, 400, uM
4ABD, SW2, PDB_BIND, Kd, =, 40, uM
1O31, 801, BINDING_MOAD, Ki, 1.8, =, uM
1O30, 693, PDB_BIND, Ki, =, 0.17, uM
1O30, 693, BINDING_MOAD, Ki, 0.17, =, uM
