PDB_ID	LIG_ID
2AYW	lig
1AUJ	PPB
1AZ8	IN4
1BTW	0ZW
1BTZ	0ZY
1C1Q	BAI
1C1R	BAI
1C1T	BAB
1C2D	BAK
1C2E	BAK
1C2F	BAH
1C2G	BAH
1C2H	BAK
1C2I	BAK
1C2J	BAK
1C2K	ABI
1C5Q	ESI
1C5S	ESX
1C5T	ESP
1EB2	BPO
1G3B	108
1G3D	108
1G3E	109
1GBT	GBS
1GHZ	120
1GI1	BMZ
1GI2	122
1GI3	BMZ
1GI4	122
1GI5	123
1GI6	124
1GJ6	132
1K1I	FD1
1K1N	CCR
1K1O	IGN
1K1P	MEL
1LQE	IMA
1MAX	ZAP
1MAY	ZAP
1MTS	BX3
1MTU	BX3
1MTV	BX3
1MTW	DX9
1NC6	ABB
1O2H	CR3
1O2I	655
1O2J	656
1O2K	656
1O2L	762
1O2M	762
1O2N	762
1O2O	950
1O2P	972
1O2Q	991
1O2R	CR9
1O2S	CR4
1O2T	783
1O2U	847
1O2V	847
1O2W	847
1O2X	847
1O2Y	847
1O2Z	312
1O30	693
1O31	801
1O32	801
1O33	801
1O34	801
1O35	802
1O36	607
1O37	653
1O38	653
1O39	780
1O3A	780
1O3B	780
1O3C	780
1O3D	780
1O3E	696
1O3F	696
1O3G	696
1O3H	907
1O3I	907
1O3J	334
1O3K	334
1O3L	678
1O3M	785
1O3N	785
1O3O	785
1PPC	MID
1PPH	0ZG
1QB1	974
1QB6	623
1QB9	806
1QBN	688
1QBO	711
1QCP	RWJ
1RXP	169
1TPP	APA
1TX7	4CM
1TX8	AM4
1TYN	CTA
1V2N	BBA
1XUF	BAZ
1XUG	BAB
1XUH	BAO
1XUI	BAO
1XUJ	BOZ
1Y3U	UIQ
1Y3V	UIR
1Y3W	UIP
1Y3X	UIB
1Y3Y	UIR
1YP9	UIZ
1YYY	0KV
1ZZZ	0IV
2AH4	GBS
2FX4	C1R
2G5V	22M
2G81	P6G
2TGD	DFP
2ZDK	50U
2ZDL	45U
2ZDM	46U
2ZDN	49U
2ZFS	12U
2ZFT	10U
2ZQ1	11U
2ZQ2	13U
3A7W	O04
3A7X	O09
3A7Y	O13
3A7Z	O14
3A80	O15
3A81	H06
3A82	O09
3A83	H06
3A84	O09
3A85	O09
3A86	O09
3A87	H06
3A88	H06
3A89	H06
3A8B	BR6
3A8C	O09
3A8D	O09
3AAS	GUS
3AAU	GZC
3AAV	A2C
3ATM	TSS
3GY3	PNT
3GY8	BRN
3M35	M35
3NK8	JKZ
3NKK	JLZ
3PLP	BBA
3PM3	TFN
3RXI	TSS
3RXJ	GBS
3RXK	SZ8
3RXM	SW1
3RXO	SW2
3UPE	0CA
3UQO	3YH
3UUZ	0CB
3V0X	ANH
3VPK	GHS
4ABB	K9S
4ABF	513
4MTB	BZY
5EG4	5N7
5LGO	6VZ
5LH8	6WH
