PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2FS9, C4A, PDB_BIND, Ki, =, 3, nM
2FS9, C4A, BINDING_DB, NA, NA, NA, NA
2FS8, C3A, PDB_BIND, Ki, =, 25, nM
2FS8, C3A, BINDING_DB, NA, NA, NA, NA
2ZA5, 2FF, PDB_BIND, Ki, =, 3.7, nM
2ZA5, 2FF, BINDING_MOAD, ic50, 3.6, =, nM
2ZA5, 2FF, BINDING_MOAD, ic50, 3.6, =, nM
2ZA5, 2FF, BINDING_MOAD, ic50, 3.6, =, nM
2ZA5, 2FF, BINDING_MOAD, ic50, 3.6, =, nM
2ZA5, 2FF, BINDING_DB, NA, NA, NA, NA
2BM2, PM2, BINDING_MOAD, Ki, 15, =, nM
2BM2, PM2, BINDING_MOAD, Ki, 15, =, nM
2BM2, PM2, BINDING_MOAD, Ki, 15, =, nM
2BM2, PM2, BINDING_MOAD, Ki, 15, =, nM
4A6L, P43, PDB_BIND, Ki, =, 10, nM
4A6L, P43, BINDING_MOAD, Ki, 10, =, nM
4A6L, P43, BINDING_MOAD, Ki, 10, =, nM
4A6L, P43, BINDING_MOAD, Ki, 10, =, nM
4A6L, P43, BINDING_MOAD, Ki, 10, =, nM
2FXR, C3A, PDB_BIND, Ki, =, 25, nM
2FXR, C3A, BINDING_DB, NA, NA, NA, NA
2F9P, FUC, BINDING_DB, NA, NA, NA, NA
2F9N, FUC, BINDING_DB, NA, NA, NA, NA
3V7T, 0GX, PDB_BIND, Ki, =, 62, nM
3V7T, 0GX, BINDING_MOAD, Ki, 62, =, nM
3V7T, 0GX, BINDING_MOAD, Ki, 62, =, nM
3V7T, 0GX, BINDING_MOAD, Ki, 62, =, nM
3V7T, 0GX, BINDING_MOAD, Ki, 62, =, nM
2F9O, FUC, BINDING_DB, NA, NA, NA, NA
2ZEB, 11M, BINDING_MOAD, , , , 
2ZEB, 11M, BINDING_MOAD, , , , 
2ZEB, 11M, BINDING_MOAD, , , , 
2ZEB, 11M, BINDING_MOAD, , , , 
2ZEB, 11M, BINDING_MOAD, , , , 
2ZEB, 11M, BINDING_MOAD, , , , 
2ZEB, 11M, BINDING_MOAD, , , , 
2ZEB, 11M, BINDING_MOAD, , , , 
