PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
4ISK, 1JY, BINDING_MOAD, Ki, 1.2, =, nM
4ISK, 1JY, BINDING_MOAD, Ki, 1.2, =, nM
4ISK, 1JY, BINDING_MOAD, Ki, 1.2, =, nM
4ISK, 1JY, BINDING_MOAD, Ki, 1.2, =, nM
4ISK, 1JY, BINDING_MOAD, Ki, 1.2, =, nM
4ISK, 1JY, BINDING_MOAD, Ki, 1.2, =, nM
4ISK, 1JY, BINDING_MOAD, Ki, 1.2, =, nM
4ISK, 1JY, BINDING_MOAD, Ki, 1.2, =, nM
4ISK, UMP, BINDING_MOAD, , , , 
4ISK, UMP, BINDING_MOAD, , , , 
4ISK, UMP, BINDING_MOAD, , , , 
4ISK, UMP, BINDING_DB, NA, NA, NA, NA
1JTU, LYB, BINDING_MOAD, , , , 
1JTU, LYB, BINDING_MOAD, , , , 
1JTU, UMP, BINDING_DB, NA, NA, NA, NA
1FWM, CB3, BINDING_MOAD, , , , 
1FWM, CB3, BINDING_MOAD, , , , 
1FWM, CB3, BINDING_DB, NA, NA, NA, NA
1TRG, CB3, BINDING_MOAD, , , , 
1TRG, CB3, BINDING_DB, NA, NA, NA, NA
1TRG, UMP, BINDING_DB, NA, NA, NA, NA
1AXW, MTX, BINDING_MOAD, , , , 
1AXW, MTX, BINDING_MOAD, , , , 
1AXW, MTX, BINDING_DB, NA, NA, NA, NA
1AXW, UMP, BINDING_MOAD, , , , 
1AXW, UMP, BINDING_MOAD, , , , 
1AXW, UMP, BINDING_DB, NA, NA, NA, NA
2BBQ, PFG, BINDING_MOAD, , , , 
2BBQ, PFG, BINDING_MOAD, , , , 
2BBQ, UMP, BINDING_DB, NA, NA, NA, NA
2VET, UMP, BINDING_MOAD, , , , 
2VET, UMP, BINDING_DB, NA, NA, NA, NA
1KCE, CB3, BINDING_MOAD, , , , 
1KCE, CB3, BINDING_MOAD, , , , 
1KCE, CB3, BINDING_DB, NA, NA, NA, NA
1KCE, UMP, BINDING_DB, NA, NA, NA, NA
1TDU, CB3, BINDING_MOAD, , , , 
1TDU, CB3, BINDING_MOAD, , , , 
1TDU, CB3, BINDING_DB, NA, NA, NA, NA
1TDU, DUR, BINDING_MOAD, , , , 
1TDU, DUR, BINDING_MOAD, , , , 
2A9W, GA9, BINDING_MOAD, Ki, 4.1, =, uM
2A9W, GA9, BINDING_MOAD, Ki, 4.1, =, uM
2A9W, GA9, BINDING_MOAD, Ki, 4.1, =, uM
2A9W, GA9, BINDING_MOAD, Ki, 4.1, =, uM
2A9W, GA9, BINDING_DB, NA, NA, NA, NA
2A9W, UMP, BINDING_MOAD, , , , 
2A9W, UMP, BINDING_MOAD, , , , 
2A9W, UMP, BINDING_MOAD, , , , 
2A9W, UMP, BINDING_MOAD, , , , 
2A9W, UMP, BINDING_DB, NA, NA, NA, NA
1BJG, TMF, BINDING_MOAD, , , , 
1BJG, UFP, BINDING_DB, NA, NA, NA, NA
4LRR, CF9, PDB_BIND, Ki, =, 6, uM
4LRR, CF9, BINDING_MOAD, Ki, 6, =, uM
4LRR, UMP, BINDING_MOAD, , , , 
4LRR, UMP, BINDING_DB, NA, NA, NA, NA
1JTQ, LY3, PDB_BIND, Ki, =, 8.5, nM
1JTQ, LY3, BINDING_MOAD, , , , 
1JTQ, LY3, BINDING_MOAD, , , , 
1JTQ, UMP, BINDING_DB, NA, NA, NA, NA
1ZPR, CB3, BINDING_MOAD, , , , 
1ZPR, CB3, BINDING_MOAD, , , , 
1ZPR, CB3, BINDING_DB, NA, NA, NA, NA
1ZPR, UMP, BINDING_MOAD, , , , 
1ZPR, UMP, BINDING_MOAD, , , , 
1ZPR, UMP, BINDING_DB, NA, NA, NA, NA
2TSC, CB3, BINDING_MOAD, , , , 
2TSC, CB3, BINDING_MOAD, , , , 
2TSC, CB3, BINDING_DB, NA, NA, NA, NA
2TSC, UMP, BINDING_DB, NA, NA, NA, NA
1BDU, DUR, BINDING_MOAD, , , , 
4KNZ, CB3, BINDING_MOAD, , , , 
4KNZ, CB3, BINDING_MOAD, , , , 
4KNZ, UMC, PDB_BIND, Kd, =, 8.5, uM
1JUT, LYD, PDB_BIND, Ki, =, 47.7, nM
1JUT, UMP, BINDING_DB, NA, NA, NA, NA
1TLC, DGP, BINDING_MOAD, Kd, 0.076, =, uM
1TLC, DGP, BINDING_MOAD, Kd, 0.076, =, uM
1TLC, F89, BINDING_MOAD, , , , 
1TLC, F89, BINDING_MOAD, , , , 
1TLC, F89, BINDING_DB, NA, NA, NA, NA
1JG0, DDT, PDB_BIND, IC50, =, 5.0, uM
1JG0, DDT, BINDING_MOAD, ic50, 5, =, uM
1JG0, DDT, BINDING_MOAD, ic50, 5, =, uM
1JG0, DDT, BINDING_DB, NA, NA, NA, NA
1JG0, UMP, BINDING_MOAD, , , , 
1JG0, UMP, BINDING_MOAD, , , , 
1JG0, UMP, BINDING_DB, NA, NA, NA, NA
1TSD, F89, BINDING_MOAD, , , , 
1TSD, F89, BINDING_MOAD, , , , 
1TSD, F89, BINDING_DB, NA, NA, NA, NA
1TSD, UMP, BINDING_MOAD, Kd, 0.04, =, uM
1TSD, UMP, BINDING_MOAD, Kd, 0.04, =, uM
1TSD, UMP, BINDING_DB, NA, NA, NA, NA
1BQ1, CB3, BINDING_MOAD, , , , 
1BQ1, CB3, BINDING_MOAD, , , , 
1BQ1, CB3, BINDING_DB, NA, NA, NA, NA
1BQ1, UMP, BINDING_DB, NA, NA, NA, NA
1NCE, CB3, BINDING_MOAD, , , , 
1NCE, CB3, BINDING_MOAD, , , , 
1NCE, CB3, BINDING_DB, NA, NA, NA, NA
1NCE, UMP, BINDING_MOAD, , , , 
1NCE, UMP, BINDING_MOAD, , , , 
1NCE, UMP, BINDING_DB, NA, NA, NA, NA
1TSN, UFP, BINDING_DB, NA, NA, NA, NA
1AN5, CB3, BINDING_DB, NA, NA, NA, NA
1TLS, UFP, BINDING_DB, NA, NA, NA, NA
3BGX, TMP, BINDING_DB, NA, NA, NA, NA
1F4E, TPR, PDB_BIND, Ki, =, 1.1, mM
1F4E, TPR, BINDING_MOAD, Ki, 1.1, =, mM
1F4E, TPR, BINDING_MOAD, Ki, 1.1, =, mM
1F4E, TPR, BINDING_DB, NA, NA, NA, NA
1F4G, TP4, PDB_BIND, Ki, =, 330, nM
1F4G, TP4, BINDING_MOAD, Ki, 330, =, nM
