PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1GI7, 120, PDB_BIND, Ki, =, 31, uM
1GI7, 120, BINDING_MOAD, Ki, 31, =, uM
1GI7, 120, BINDING_DB, NA, NA, NA, NA
1GI7, CIT, BINDING_DB, NA, NA, NA, NA
1C5Z, FLC, BINDING_MOAD, , , , 
1C5Y, ESP, PDB_BIND, Ki, =, 63, uM
1C5Y, ESP, BINDING_MOAD, Ki, 63, =, uM
1C5Y, ESP, BINDING_DB, NA, NA, NA, NA
1C5Y, FLC, BINDING_MOAD, , , , 
1C5X, ESI, PDB_BIND, Ki, =, 0.21, uM
1C5X, ESI, BINDING_MOAD, Ki, 0.21, =, uM
1C5X, ESI, BINDING_DB, NA, NA, NA, NA
1C5X, FLC, BINDING_MOAD, , , , 
3MHW, ABV, PDB_BIND, Ki, =, 5.03, mM
3MHW, ABV, BINDING_DB, NA, NA, NA, NA
1C5W, ESI, BINDING_MOAD, , , , 
1C5W, ESI, BINDING_DB, NA, NA, NA, NA
1C5W, FLC, BINDING_MOAD, , , , 
1F92, UKP, PDB_BIND, Ki, =, 0.64, uM
1F92, UKP, BINDING_DB, NA, NA, NA, NA
1SQA, UI1, PDB_BIND, Ki, =, 0.62, nM
1SQA, UI1, BINDING_MOAD, Ki, 0.00062, =, uM
1SQA, UI1, BINDING_DB, NA, NA, NA, NA
1SQO, UI2, PDB_BIND, Ki, =, 0.035, uM
1SQO, UI2, BINDING_MOAD, Ki, 0.035, ~, uM
1SQO, UI2, BINDING_DB, NA, NA, NA, NA
1OWI, 426, PDB_BIND, Ki, =, 28.0, nM
1OWI, 426, BINDING_DB, NA, NA, NA, NA
1OWH, 239, PDB_BIND, Ki, =, 40, nM
1OWH, 239, BINDING_MOAD, Ki, 40, ~, nM
1OWH, 239, BINDING_DB, NA, NA, NA, NA
1OWJ, 155, PDB_BIND, Ki, =, 48.0, nM
1OWJ, 155, BINDING_DB, NA, NA, NA, NA
1OWE, 675, PDB_BIND, Ki, =, 631, nM
1OWE, 675, BINDING_MOAD, ic50, 0.631, ~, uM
1OWE, 675, BINDING_DB, NA, NA, NA, NA
1OWD, 497, PDB_BIND, Ki, =, 6.3, nM
1OWD, 497, BINDING_MOAD, ic50, 6.3, ~, nM
1OWD, 497, BINDING_DB, NA, NA, NA, NA
1O3P, 655, PDB_BIND, Ki, =, 0.22, uM
1O3P, 655, BINDING_MOAD, Ki, 0.22, =, uM
1O3P, 655, BINDING_DB, NA, NA, NA, NA
1O3P, CIT, BINDING_DB, NA, NA, NA, NA
1GJD, 136, PDB_BIND, Ki, =, 6.0, uM
1GJD, 136, BINDING_MOAD, Ki, 6, =, uM
1GJD, 136, BINDING_DB, NA, NA, NA, NA
1GJD, CIT, BINDING_DB, NA, NA, NA, NA
1GI8, BMZ, PDB_BIND, Ki, =, 8.9, uM
1GI8, CIT, BINDING_DB, NA, NA, NA, NA
1GJB, 130, PDB_BIND, Ki, =, 0.45, uM
1GJB, 130, BINDING_MOAD, Ki, 0.45, =, uM
1GJB, 130, BINDING_DB, NA, NA, NA, NA
1GJB, CIT, BINDING_DB, NA, NA, NA, NA
1GJC, 130, PDB_BIND, Ki, =, 0.45, uM
1GJC, 130, BINDING_MOAD, Ki, 0.008, =, uM
1GJC, 130, BINDING_DB, NA, NA, NA, NA
1GJC, CIT, BINDING_DB, NA, NA, NA, NA
1GJA, 135, PDB_BIND, Ki, =, 3.8, uM
1GJA, 135, BINDING_MOAD, Ki, 3.8, =, uM
1GJA, 135, BINDING_DB, NA, NA, NA, NA
1GJA, CIT, BINDING_DB, NA, NA, NA, NA
1W14, SH1, PDB_BIND, Ki, =, 3, nM
1SC8, 2IN, PDB_BIND, Ki, =, 0.036, uM
1SC8, 2IN, BINDING_MOAD, Ki, 36, =, nM
1SC8, 2IN, BINDING_DB, NA, NA, NA, NA
1U6Q, 745, PDB_BIND, Ki, =, 1.31, uM
1U6Q, 745, BINDING_MOAD, , , , 
1GJ7, 132, PDB_BIND, Ki, =, 0.013, uM
1GJ7, 132, BINDING_MOAD, Ki, 0.009, =, uM
1GJ7, 132, BINDING_DB, NA, NA, NA, NA
1GJ7, CIT, BINDING_DB, NA, NA, NA, NA
1GJ8, 133, PDB_BIND, Ki, =, 0.11, uM
1GJ8, 133, BINDING_MOAD, Ki, 0.11, =, uM
