PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
3EWH, K11, PDB_BIND, IC50, =, 69, nM
3EWH, K11, BINDING_MOAD, ic50, 69, =, nM
3EWH, K11, BINDING_DB, NA, NA, NA, NA
4AG8, AXI, PDB_BIND, Ki, =, 1.1, nM
4AG8, AXI, BINDING_MOAD, Ki, 1.1, =, nM
3CPB, C92, PDB_BIND, IC50, =, 25, uM
3CPB, C92, BINDING_DB, NA, NA, NA, NA
3CPC, C52, PDB_BIND, IC50, =, 5, uM
3CPC, C52, BINDING_MOAD, , , , 
3CPC, C52, BINDING_MOAD, , , , 
3CPC, C52, BINDING_DB, NA, NA, NA, NA
2RL5, 2RL, PDB_BIND, IC50, =, 4, nM
2RL5, 2RL, BINDING_DB, NA, NA, NA, NA
3BE2, RAJ, PDB_BIND, IC50, =, 2, nM
3BE2, RAJ, BINDING_MOAD, ic50, 2, =, nM
3BE2, RAJ, BINDING_DB, NA, NA, NA, NA
3CJF, SAV, PDB_BIND, IC50, =, 6.3, nM
3CJF, SAV, BINDING_MOAD, ic50, 6.3, =, nM
3CJF, SAV, BINDING_DB, NA, NA, NA, NA
3CJG, KIM, BINDING_MOAD, , , , 
1YWN, LIF, BINDING_MOAD, ic50, 0.003, ~, uM
1YWN, LIF, BINDING_DB, NA, NA, NA, NA
1YWN, PTR, BINDING_DB, NA, NA, NA, NA
2OH4, GIG, PDB_BIND, IC50, =, 3.5, nM
2OH4, GIG, BINDING_MOAD, ic50, 3.5, =, nM
2OH4, GIG, BINDING_DB, NA, NA, NA, NA
2OH4, PTR, BINDING_DB, NA, NA, NA, NA
3DTW, A96, BINDING_DB, NA, NA, NA, NA
3VO3, 0KF, PDB_BIND, IC50, =, 1.4, nM
3VO3, 0KF, BINDING_MOAD, ic50, 1.4, =, nM
3VO3, 0KF, BINDING_DB, NA, NA, NA, NA
3CP9, C19, PDB_BIND, IC50, =, 0.048, uM
3CP9, C19, BINDING_MOAD, , , , 
3CP9, C19, BINDING_MOAD, , , , 
3CP9, C19, BINDING_DB, NA, NA, NA, NA
2P2H, 994, PDB_BIND, IC50, =, 68, nM
2P2H, 994, BINDING_MOAD, ic50, 68, =, nM
2P2H, 994, BINDING_DB, NA, NA, NA, NA
3B8R, 887, PDB_BIND, IC50, =, 0.6, nM
3B8R, 887, BINDING_DB, NA, NA, NA, NA
3B8Q, 900, PDB_BIND, IC50, =, 0.5, nM
3B8Q, 900, BINDING_DB, NA, NA, NA, NA
2QU5, 276, PDB_BIND, Ki, =, 8.7, nM
2QU5, 276, BINDING_DB, NA, NA, NA, NA
2QU6, 857, PDB_BIND, Ki, =, 3, nM
2QU6, 857, BINDING_MOAD, Ki, 3, =, nM
2QU6, 857, BINDING_MOAD, Ki, 3, =, nM
2QU6, 857, BINDING_DB, NA, NA, NA, NA
3EFL, 706, BINDING_DB, NA, NA, NA, NA
3U6J, 03X, PDB_BIND, IC50, =, 6.2, nM
3U6J, 03X, BINDING_MOAD, , , , 
3U6J, 03X, BINDING_DB, NA, NA, NA, NA
3VNT, 0JA, PDB_BIND, IC50, =, 2.2, nM
3VNT, 0JA, BINDING_MOAD, ic50, 2.2, =, nM
3C7Q, PTR, BINDING_DB, NA, NA, NA, NA
3C7Q, XIN, PDB_BIND, IC50, =, 21, nM
3C7Q, XIN, BINDING_MOAD, ic50, 21, =, nM
3C7Q, XIN, BINDING_DB, NA, NA, NA, NA
nM
3C7Q, PTR, BINDING_DB, NA, NA, NA, NA
3C7Q, XIN, PDB_BIND, IC50, =, 21, nM
3C7Q, XIN, BINDING_MOAD, ic50, 21, =, nM
3C7Q, XIN, BINDING_DB, NA, NA, NA, NA
