PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
2IN6, 839, PDB_BIND, IC50, =, 0.023, uM
2IN6, 839, BINDING_MOAD, ic50, 0.023, =, uM
2IN6, 839, BINDING_DB, NA, NA, NA, NA
2IO6, 330, PDB_BIND, IC50, =, 0.030, uM
2IO6, 330, BINDING_MOAD, ic50, 0.03, =, uM
2IO6, 330, BINDING_DB, NA, NA, NA, NA
1X8B, 824, PDB_BIND, IC50, =, 97, nM
1X8B, 824, BINDING_MOAD, ic50, 97, =, nM
1X8B, 824, BINDING_DB, NA, NA, NA, NA
3BI6, 396, PDB_BIND, IC50, =, 15, nM
3BI6, 396, BINDING_MOAD, ic50, 15, =, nM
3BI6, 396, BINDING_DB, NA, NA, NA, NA
