PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1TFQ, 998, PDB_BIND, Kd, =, 0.012, uM
1TFQ, 998, BINDING_DB, NA, NA, NA, NA
4HY0, 1AQ, PDB_BIND, IC50, =, 200, nM
4HY0, 1AQ, BINDING_DB, NA, NA, NA, NA
4EC4, 0O6, PDB_BIND, IC50, =, 25.4, nM
4EC4, 0O6, BINDING_DB, NA, NA, NA, NA
3G76, CZ3, PDB_BIND, IC50, =, 230.8, nM
3EYL, SMK, PDB_BIND, IC50, =, 250, nM
3EYL, SMK, BINDING_DB, NA, NA, NA, NA
2OPY, CO9, PDB_BIND, Kd, =, 30, uM
2OPY, CO9, BINDING_DB, NA, NA, NA, NA
3CLX, X22, BINDING_DB, NA, NA, NA, NA
2JK7, BI6, PDB_BIND, Ki, =, 67, nM
1TFT, 997, PDB_BIND, Kd, =, 0.005, uM
1TFT, 997, BINDING_DB, NA, NA, NA, NA
3CM7, X22, PDB_BIND, IC50, =, 270, nM
3CM7, X22, BINDING_DB, NA, NA, NA, NA
3CM2, X23, PDB_BIND, Ki, =, 340, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_MOAD, ic50, 970, =, nM
3CM2, X23, BINDING_DB, NA, NA, NA, NA
