PDB_ID	LIG_ID
3KL6	lig
1EZQ	RPR
1F0R	815
1F0S	PR2
1FAX	DX9
1FJS	Z34
1G2L	T87
1G2M	R11
1IOE	XMA
1IQE	XMB
1IQF	XMD
1IQG	XME
1IQH	XMF
1IQI	XMG
1IQJ	XMH
1IQK	XMI
1IQL	XMJ
1IQM	XMK
1IQN	XMC
1KSN	FXV
1MQ5	XLC
1MQ6	XLD
1NFU	RRP
1NFW	RRR
1NFX	RDR
1NFY	RTR
1V3X	D76
1XKA	4PP
1Z6E	IK8
2BOK	784
2CJI	GSK
2D1J	D01
2EI6	D92
2EI7	D93
2EI8	DT8
2FZZ	5QC
2G00	4QC
2J2U	GSQ
2J34	GS6
2J38	GS5
2J4I	GSJ
2J94	G15
2J95	GSX
2JKH	BI7
2P16	GG2
2P93	ME1
2P94	ME4
2P95	ME5
2PHB	230
2PR3	237
2Q1J	FXI
2RA0	JNJ
2UWL	895
2UWO	701
2UWP	894
2VH0	GSI
2VH6	GSV
2VVC	LZF
2VVU	H22
2VVV	H21
2VWM	LZI
2W26	RIV
2W3I	L1C
2W3K	L1D
2WYG	461
2WYJ	898
2XBV	XBV
2XBW	455
2XBX	RR8
2XBY	63C
2XC0	8NC
2XC4	IVK
2XC5	OYJ
2Y5F	XWG
2Y5G	FJD
2Y5H	Y5H
2Y7X	MZA
2Y7Z	C0Z
2Y80	439
2Y81	931
2Y82	930
3CEN	FXA
3CS7	LG0
3FFG	FFG
3IIT	D14
3KQB	LGJ
3KQC	LGK
3KQD	LGL
3KQE	LGM
3LIW	RUP
3M36	M35
3M37	M37
3Q3K	D90
3TK5	D1Q
3TK6	D46
4Y6D	48U
4Y71	48W
4Y76	4O1
4Y79	4O6
4Y7A	987
4Y7B	44I
4ZH8	4O4
4ZHA	4O5
5K0H	6PK
