PDB_ID	LIG_ID
3LQ8	lig
1R0P	KSA
2RFN	AM7
2RFS	AM8
2WD1	ZZY
2WGJ	VGH
2WKM	PFY
3CCN	LKG
3CD8	L5G
3CE3	1FN
3CTH	319
3CTJ	320
3DKC	ATP
3DKF	SX8
3DKG	SX8
3EFJ	MT3
3EFK	MT4
3F82	353
3I5N	B2D
3L8V	L8V
3Q6W	Q6W
3QTI	3QT
3R7O	M61
3RHK	M97
3U6H	03X
3U6I	044
3VW8	DF6
3ZBX	6XE
3ZC5	W9Z
3ZCL	5TF
3ZXZ	KRW
3ZZE	6XP
4AOI	4K0
4AP7	F47
4DEG	0JJ
4DEH	0JK
4DEI	0JL
4EEV	L1X
4GG5	0J3
4GG7	0J8
4IWD	1JC
4KNB	1RU
4MXC	DWF
4R1V	3E8
4R1Y	3EH
4XMO	46G
4XYF	44X
5DG5	5B4
5EOB	5QQ
5EYC	5SZ
5EYD	5T1
5HLW	62E
5HNI	63B
5HO6	63K
5HOA	63K
5HOR	63K
5HTI	66L
5T3Q	75H
5UAB	84M
5UAD	84P
5UAF	84P
