PDB_ID	LIG_ID
3D4Q	lig
1UWH	BAX
1UWJ	BAX
2FB8	215
3C4C	324
3IDP	L1E
3II5	831
3OG7	032
3PPJ	FOI
3PPK	FNI
3PRF	FP3
3PRI	FP4
3PSB	SM6
3PSD	SM7
3Q4C	RSW
3Q96	0NF
3SKC	BR2
3TV4	TV4
3TV6	B0R
4CQE	CQE
4DBN	0JA
4E26	734
4E4X	T1Q
4EHE	RI8
4EHG	RI9
4FC0	0T2
4FK3	325
4G9C	0WP
4G9R	B1E
4H58	10Z
4JVG	B96
4KSP	1SU
4KSQ	1SW
4MBJ	DFS
4MNF	29L
4PP7	2VX
4R5Y	3K3
4RZV	032
4RZW	B1E
4WO5	324
4XV1	904
4XV2	P06
4XV3	P02
4XV9	1OO
4YHT	4EF
5C9C	4Z5
5CSW	P06
5CT7	55J
5FD2	5XJ
5HI2	BAX
5HID	B1E
5HIE	P06
5ITA	6DC
5JT2	6NC
5VAL	92D
5VAM	92J
6B8U	8EN
