PDB_ID	Reason
1GOS	Two ligands in / near same reference pocket
1OJ9	Two ligands in / near same reference pocket
1OJA	Two ligands in / near same reference pocket
1OJC	Two ligands in / near same reference pocket
1OJD	Could not align to reference
1S2Q	Two ligands in / near same reference pocket
1S2Y	Two ligands in / near same reference pocket
1S3E	Two ligands in / near same reference pocket
2BK3	Two ligands in / near same reference pocket
2BK4	Two ligands in / near same reference pocket
2BK5	Two ligands in / near same reference pocket
2BYB	Two ligands in / near same reference pocket
2C65	Two ligands in / near same reference pocket
2C66	Two ligands in / near same reference pocket
2C67	Two ligands in / near same reference pocket
2C70	Two ligands in / near same reference pocket
2C72	Two ligands in / near same reference pocket
2C73	Two ligands in / near same reference pocket
2C75	Two ligands in / near same reference pocket
2C76	Two ligands in / near same reference pocket
2V5Z	Two ligands in / near same reference pocket
2V60	Two ligands in / near same reference pocket
2V61	Two ligands in / near same reference pocket
2VRL	Two ligands in / near same reference pocket
2VRM	Two ligands in / near same reference pocket
2VZ2	Two ligands in / near same reference pocket
2XCG	Two ligands in / near same reference pocket
2XFO	Two ligands in / near same reference pocket
2XFP	Two ligands in / near same reference pocket
2XFQ	Two ligands in / near same reference pocket
2XFU	Two ligands in / near same reference pocket
3PO7	Two ligands in / near same reference pocket
3ZYX	Two ligands in / near same reference pocket
4A79	Two ligands in / near same reference pocket
4A7A	Two ligands in / near same reference pocket
4CRT	Two ligands in / near same reference pocket
5MRL	Two ligands in / near same reference pocket
