PDB_ID	Reason
4YOB	No ligand in pdb
4NKK	No ligand in pdb
3U71	No ligand in pdb
9HVP	No ligand in pdb
4FAE	No ligand in pdb
4FAF	No ligand in pdb
5T84	No ligand in pdb
4QJ7	No ligand in pdb
4QJ8	No ligand in pdb
4DQG	No ligand in pdb
1KJ7	No ligand in pdb
1KJ4	No ligand in pdb
1KJG	No ligand in pdb
1KJH	No ligand in pdb
2PC0	No ligand in pdb
4FM6	No ligand in pdb
3HVP	No ligand in pdb
3OTS	No ligand in pdb
1KJF	No ligand in pdb
1F7A	No ligand in pdb
3OTY	No ligand in pdb
4OBG	No ligand in pdb
4OBJ	No ligand in pdb
4FLG	No ligand in pdb
1HHP	No ligand in pdb
3PHV	No ligand in pdb
2HVP	No ligand in pdb
2NXD	No ligand in pdb
2NXL	No ligand in pdb
3OQD	No ligand in pdb
3OQA	No ligand in pdb
3OQ7	No ligand in pdb
2FNT	No ligand in pdb
3IXO	No ligand in pdb
4QJ2	No ligand in pdb
4QJ6	No ligand in pdb
4QJ9	No ligand in pdb
4QJA	No ligand in pdb
4OBD	No ligand in pdb
4OBF	No ligand in pdb
4OBH	No ligand in pdb
4OBK	No ligand in pdb
2R8N	No ligand in pdb
4FL8	No ligand in pdb
4E43	No ligand in pdb
2NXM	No ligand in pdb
1MT9	No ligand in pdb
1MT7	No ligand in pdb
3OU1	No ligand in pdb
3OU3	No ligand in pdb
3OU4	No ligand in pdb
3OUB	No ligand in pdb
3OUD	No ligand in pdb
3D3T	No ligand in pdb
1YTH	No ligand in pdb
1YTG	No ligand in pdb
1TW7	No ligand in pdb
2AOJ	No ligand in pdb
2AOH	No ligand in pdb
2AOI	No ligand in pdb
2AOF	No ligand in pdb
1MT8	No ligand in pdb
1Q9P	No ligand in pdb
2G69	No ligand in pdb
2HB4	No ligand in pdb
2HB2	No ligand in pdb
3PJ6	No ligand in pdb
4F76	No ligand in pdb
4F75	No ligand in pdb
4F74	No ligand in pdb
4F73	No ligand in pdb
2NPH	No ligand in pdb
1TSU	No ligand in pdb
1TSQ	No ligand in pdb
1SP5	No ligand in pdb
3OUC	No ligand in pdb
2FNS	No ligand in pdb
3OUA	No ligand in pdb
1A30	No ligand in pdb
1AID	Two ligands in / near same reference pocket
1AXA	Two ligands in / near same reference pocket
1B6J	Ligand(s) outside reference pocket
1BDL	Two ligands in / near same reference pocket
1CPI	Ligand(s) outside reference pocket
1GNM	Two ligands in / near same reference pocket
1GNN	Two ligands in / near same reference pocket
1GNO	Two ligands in / near same reference pocket
1HPS	Two ligands in / near same reference pocket
1HTF	Two ligands in / near same reference pocket
1HTG	Two ligands in / near same reference pocket
1IIQ	Two ligands in / near same reference pocket
1LZQ	Could not align to reference
1MTB	Two ligands in / near same reference pocket
1RPI	Could not align to reference
1U8G	Two ligands in / near same reference pocket
1ZTZ	Two ligands in / near same reference pocket
2AID	Two ligands in / near same reference pocket
2AOC	Two ligands in / near same reference pocket
2AOD	Two ligands in / near same reference pocket
