PDB_ID	Reason
3UY9	No ligand in pdb
3RXB	No ligand in pdb
1SBW	No ligand in pdb
2BZA	No ligand in pdb
5MOO	No ligand in pdb
2FI5	No ligand in pdb
2FI4	No ligand in pdb
2FI3	No ligand in pdb
1BTX	No ligand in pdb
3UNQ	No ligand in pdb
1TIO	No ligand in pdb
2FTL	No ligand in pdb
2FTM	No ligand in pdb
4AB9	No ligand in pdb
1C1O	No ligand in pdb
1C1N	No ligand in pdb
2A7H	No ligand in pdb
1SFI	No ligand in pdb
1QA0	No ligand in pdb
5MN1	No ligand in pdb
5F6M	No ligand in pdb
1OPH	No ligand in pdb
2QN5	No ligand in pdb
5MON	No ligand in pdb
1SMF	No ligand in pdb
1UTP	No ligand in pdb
1UTQ	No ligand in pdb
6B6N	No ligand in pdb
1JIR	No ligand in pdb
6B6R	No ligand in pdb
6B6S	No ligand in pdb
5T3H	No ligand in pdb
1UTN	No ligand in pdb
1UTO	No ligand in pdb
1TAW	No ligand in pdb
1BTY	No ligand in pdb
3ATL	No ligand in pdb
2FX6	No ligand in pdb
1EJM	No ligand in pdb
2PTC	No ligand in pdb
2PTN	No ligand in pdb
3RDZ	No ligand in pdb
5GIB	No ligand in pdb
1D6R	No ligand in pdb
4B1T	No ligand in pdb
1C5P	No ligand in pdb
1C5V	No ligand in pdb
3PTN	No ligand in pdb
3PTB	No ligand in pdb
1C9T	No ligand in pdb
1TLD	No ligand in pdb
1TGS	No ligand in pdb
1TGT	No ligand in pdb
1TGB	No ligand in pdb
1TGC	No ligand in pdb
1TGN	No ligand in pdb
1N6X	No ligand in pdb
3OTJ	No ligand in pdb
2TIO	No ligand in pdb
1V2L	No ligand in pdb
2TGA	No ligand in pdb
1OX1	No ligand in pdb
2TGT	No ligand in pdb
4I8G	No ligand in pdb
2TGP	No ligand in pdb
4I8H	No ligand in pdb
4I8K	No ligand in pdb
4I8J	No ligand in pdb
4I8L	No ligand in pdb
3VEQ	No ligand in pdb
4B2A	No ligand in pdb
4B2B	No ligand in pdb
4B2C	No ligand in pdb
2OTV	No ligand in pdb
1ZR0	No ligand in pdb
5FXL	No ligand in pdb
3T29	No ligand in pdb
3T28	No ligand in pdb
2CMY	No ligand in pdb
3T27	No ligand in pdb
3T26	No ligand in pdb
4Y10	No ligand in pdb
3D65	No ligand in pdb
3A8A	No ligand in pdb
3RU4	No ligand in pdb
2ILN	No ligand in pdb
1C2L	No ligand in pdb
1C2M	No ligand in pdb
3MI4	No ligand in pdb
3M7Q	No ligand in pdb
2AGG	No ligand in pdb
2AGE	No ligand in pdb
5JYI	No ligand in pdb
