PDB_ID	Reason
1A8I	Could not align to reference
1ABB	Could not align to reference
1AXR	Could not align to reference
1B4D	Could not align to reference
1BX3	Could not align to reference
1C50	Could not align to reference
1FS4	Could not align to reference
1FTQ	Could not align to reference
1FTW	Could not align to reference
1FTY	Could not align to reference
1FU4	Could not align to reference
1FU7	Could not align to reference
1FU8	Could not align to reference
1GG8	Could not align to reference
1GGN	Could not align to reference
1GPA	Could not align to reference
1GPB	Could not align to reference
1GPY	Could not align to reference
1H5U	Could not align to reference
1HLF	Could not align to reference
1K06	Could not align to reference
1K08	Could not align to reference
1KTI	Could not align to reference
1LWN	Could not align to reference
1LWO	Could not align to reference
1NOI	Could not align to reference
1NOJ	Could not align to reference
1NOK	Could not align to reference
1P29	Could not align to reference
1P2B	Could not align to reference
1P2D	Could not align to reference
1P2G	Could not align to reference
1P4G	Could not align to reference
1P4H	Could not align to reference
1P4J	Could not align to reference
1PYG	Could not align to reference
1WUT	Could not align to reference
1WUY	Could not align to reference
1WV0	Could not align to reference
1WV1	Could not align to reference
1WW2	Could not align to reference
1WW3	Could not align to reference
1XC7	Could not align to reference
1XKX	Could not align to reference
1XL0	Could not align to reference
1XL1	Could not align to reference
1Z6P	Could not align to reference
1Z6Q	Could not align to reference
1Z8D	Could not align to reference
2AMV	Could not align to reference
2F3P	Could not align to reference
2F3Q	Could not align to reference
2F3S	Could not align to reference
2F3U	Could not align to reference
2FET	Could not align to reference
2FF5	Could not align to reference
2FFR	Could not align to reference
2G9Q	Could not align to reference
2G9U	Two ligands in / near same reference pocket
2G9V	Could not align to reference
2GJ4	Could not align to reference
2GM9	Could not align to reference
2GPA	Could not align to reference
2GPB	Could not align to reference
2GPN	Could not align to reference
2IEG	Could not align to reference
2IEI	Could not align to reference
2OFF	Could not align to reference
2PRI	Could not align to reference
2PRJ	Could not align to reference
2PYD	Could not align to reference
2PYI	Could not align to reference
2QLM	Could not align to reference
2QLN	Could not align to reference
2QN1	Could not align to reference
2QN2	Could not align to reference
2QN3	Could not align to reference
2QN7	Could not align to reference
2QN8	Could not align to reference
2QN9	Could not align to reference
2QNB	Could not align to reference
2QRG	Could not align to reference
2QRH	Could not align to reference
2QRM	Could not align to reference
2QRP	Could not align to reference
2QRQ	Could not align to reference
2SKC	Could not align to reference
2SKD	Could not align to reference
2SKE	Could not align to reference
3AMV	Could not align to reference
3BCS	Could not align to reference
3BD6	Could not align to reference
3BD8	Could not align to reference
3CUT	Could not align to reference
3CUU	Could not align to reference
3CUV	Could not align to reference
3CUW	Could not align to reference
3E3L	Could not align to reference
3E3N	Could not align to reference
3E3O	Could not align to reference
3G2H	Could not align to reference
3G2I	Could not align to reference
3G2J	Could not align to reference
3G2K	Could not align to reference
3G2N	Could not align to reference
3GPB	Could not align to reference
3L79	Could not align to reference
3L7A	Could not align to reference
3L7B	Could not align to reference
3L7C	Could not align to reference
3L7D	Could not align to reference
3MQF	Could not align to reference
3MRT	Could not align to reference
3MRV	Could not align to reference
3MRX	Could not align to reference
3MS2	Could not align to reference
3MS4	Could not align to reference
3MS7	Could not align to reference
3MSC	Could not align to reference
3MT7	Could not align to reference
3MT8	Could not align to reference
3MT9	Could not align to reference
3MTA	Could not align to reference
3MTB	Could not align to reference
3MTD	Could not align to reference
3NC4	Could not align to reference
3NP7	Could not align to reference
3NP9	Could not align to reference
3NPA	Could not align to reference
3S0J	Could not align to reference
3SYM	Could not align to reference
3SYR	Could not align to reference
3T3D	Could not align to reference
3T3E	Could not align to reference
3T3G	Could not align to reference
3T3H	Could not align to reference
3T3I	Could not align to reference
3ZCP	Could not align to reference
3ZCQ	Could not align to reference
3ZCR	Could not align to reference
3ZCS	Could not align to reference
3ZCT	Could not align to reference
3ZCU	Could not align to reference
3ZCV	Could not align to reference
4CTM	Could not align to reference
4CTN	Could not align to reference
4CTO	Could not align to reference
4EJ2	Could not align to reference
4EKE	Could not align to reference
4EKY	Could not align to reference
4EL0	Could not align to reference
4EL5	Could not align to reference
4GPB	Could not align to reference
4MHO	Could not align to reference
4MHS	Could not align to reference
4MI3	Could not align to reference
4MI6	Could not align to reference
4MI9	Could not align to reference
4MIC	Could not align to reference
4MRA	Could not align to reference
4YI3	Could not align to reference
4YI5	Could not align to reference
5GPB	Could not align to reference
5JTT	Could not align to reference
5JTU	Could not align to reference
5LRC	Could not align to reference
5LRD	Could not align to reference
5LRE	Could not align to reference
5LRF	Could not align to reference
5MCB	Could not align to reference
5MEM	Could not align to reference
5O50	Could not align to reference
5O52	Could not align to reference
5O54	Could not align to reference
5O56	Could not align to reference
7GPB	Could not align to reference
9GPB	Could not align to reference
