PDB_ID	Reason
1PDB	No ligand in pdb
1BOZ	Two ligands in / near same reference pocket
1DLR	Two ligands in / near same reference pocket
1DLS	Two ligands in / near same reference pocket
1HFP	Two ligands in / near same reference pocket
1HFQ	Two ligands in / near same reference pocket
1HFR	Two ligands in / near same reference pocket
1KMS	Two ligands in / near same reference pocket
1KMV	Two ligands in / near same reference pocket
1OHJ	Two ligands in / near same reference pocket
1OHK	Two ligands in / near same reference pocket
1PD8	Two ligands in / near same reference pocket
1S3W	Two ligands in / near same reference pocket
1U72	Two ligands in / near same reference pocket
1YHO	Two ligands in / near same reference pocket
2C2S	Two ligands in / near same reference pocket
2C2T	Two ligands in / near same reference pocket
2W3A	Two ligands in / near same reference pocket
2W3B	Two ligands in / near same reference pocket
2W3M	Two ligands in / near same reference pocket
3F8Y	Two ligands in / near same reference pocket
3F8Z	Two ligands in / near same reference pocket
3F91	Two ligands in / near same reference pocket
3FS6	Two ligands in / near same reference pocket
3GHC	Two ligands in / near same reference pocket
3GHV	Two ligands in / near same reference pocket
3GHW	Two ligands in / near same reference pocket
3GI2	Two ligands in / near same reference pocket
3GYF	Two ligands in / near same reference pocket
3L3R	Two ligands in / near same reference pocket
3N0H	Two ligands in / near same reference pocket
3NTZ	Two ligands in / near same reference pocket
3NU0	Two ligands in / near same reference pocket
3NXR	Two ligands in / near same reference pocket
3NXT	Two ligands in / near same reference pocket
3NXV	Two ligands in / near same reference pocket
3NXX	Two ligands in / near same reference pocket
3NXY	Two ligands in / near same reference pocket
3NZD	Two ligands in / near same reference pocket
3S3V	Two ligands in / near same reference pocket
4DDR	Two ligands in / near same reference pocket
4KAK	Two ligands in / near same reference pocket
4KBN	Two ligands in / near same reference pocket
4KD7	Two ligands in / near same reference pocket
4KEB	Two ligands in / near same reference pocket
4KFJ	Two ligands in / near same reference pocket
4M6K	Two ligands in / near same reference pocket
4M6L	Two ligands in / near same reference pocket
4QHV	Two ligands in / near same reference pocket
4QJC	Two ligands in / near same reference pocket
5HPB	Two ligands in / near same reference pocket
5HQY	Two ligands in / near same reference pocket
5HQZ	Two ligands in / near same reference pocket
5HSR	Two ligands in / near same reference pocket
5HSU	Two ligands in / near same reference pocket
5HT4	Two ligands in / near same reference pocket
5HT5	Two ligands in / near same reference pocket
5HUI	Two ligands in / near same reference pocket
5HVB	Two ligands in / near same reference pocket
5HVE	Two ligands in / near same reference pocket
